org.order,Lims.number,Fish.nr,Species,Organ,Diet,Analyte,Result.raw0,Result.num,Unit,Unit.type,Analyse,Latin.species.name,Analyse.Status,Full.species.name,Result.raw1,Prosjekt.nr.
1,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,06:00,<0.01,NA,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,<0.01,15359
2,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,06:0 %,<0.1,NA,%,PROSENT,FETTS_SAMM,,C,Fish.feed,<0.1,15359
3,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,08:00,<0.01,NA,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,<0.01,15359
4,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,08:0 %,<0.1,NA,%,PROSENT,FETTS_SAMM,,C,Fish.feed,<0.1,15359
5,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,10:00,<0.01,NA,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,<0.01,15359
6,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,10:0 %,<0.1,NA,%,PROSENT,FETTS_SAMM,,C,Fish.feed,<0.1,15359
7,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,12:00,<0.01,NA,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,<0.01,15359
8,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,12:0 %,<0.1,NA,%,PROSENT,FETTS_SAMM,,C,Fish.feed,<0.1,15359
9,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,14:00,"8,70",8.7,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"8,70",15359
10,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,14:0 %,"2,9",2.9,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"2,9",15359
11,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,14:1n-9,"0,34",0.34,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"0,34",15359
12,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,14:1n-9 %,"0,1",0.1,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"0,1",15359
13,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,15:00,"0,69",0.69,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"0,69",15359
14,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,15:0 %,"0,2",0.2,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"0,2",15359
15,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,16:00,"30,87",30.87,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"30,87",15359
16,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,16:0 %,"10,1",10.1,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"10,1",15359
17,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,16:1n-7,"9,18",9.18,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"9,18",15359
18,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,16:1n-7 %,"3,0",3,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"3,0",15359
19,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,16:1n-9,"0,44",0.44,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"0,44",15359
20,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,16:1n-9 %,"0,1",0.1,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"0,1",15359
21,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,16:2n-4,"1,04",1.04,mg/g ww,MG_G_WW,FETTS_SAMM,,C,Fish.feed,"1,04",15359
22,2019-292/2,Feed1.feed,Fish.feed,Fish.feed,Feed1,16:2n-4 %,"0,3",0.3,%,PROSENT,FETTS_SAMM,,C,Fish.feed,"0,3",15359
