Fish.ID,Mapped.Percent,RNA.extract.RIN
F286,75.85,2.7
F087,90.4,4.2
F185,80.8,2.5
F360,81.79,2.5
F111,90.07,4.6
F333,73.9,2.4
F416,41.23,2.5
F379,73.76,2.7
F236,59.96,2.6
F419,18.54,2.5
F078,89.11,3
F445,74.92,2.5
F373,82.35,2.5
F010,89.53,3.7
F042,90.05,2.9
F066,90.46,5.7
F318,76.63,2.4
F385,61.31,2.5
F408,90.23,5.7
F198,89.33,2.8
F310,82.48,2.7
F020,88.81,2.2
F125,90.01,3.1
F232,80.08,3.6
F205,77.55,2.6
F359,63.03,2.5
F237,68.57,2.5
F450,87.91,2.7
F260,74.92,2.6
F118,88.32,2.6
F223,83.25,2.4
F178,87.85,2.7
F216,81.14,2.3
F148,89.75,2.5
F022,90.26,3.3
F245,73.18,2.5
F437,40.65,2.6
F189,89.44,5.9
F351,87.85,3.1
F136,89.64,5.3
F230,88.3,2.7
F270,76.11,2.5
F441,89.89,9.6
F254,67.17,2.4
F197,87.53,2.4
F294,66.28,2.5
F225,37.13,2.5
F331,82.04,2.5
F339,33.8,2.5
F029,86.96,1.1
F016,62.97,0
F262,78.77,2.5
F243,70.91,2.4
F287,0.83,0
F019,85.81,2.4
F361,40.89,2.4
F103,89.9,3
F121,75.73,2.3
F182,84.42,2.4
F443,92.91,2.6
F130,89.38,2.3
F271,87.46,2.5
F391,85.34,2.4
F222,87.5,2.4
F291,81.82,2.5
F244,34.56,2.6
F355,83.82,2.5
F297,90.54,2.4
F376,87.02,2.4
F296,86.73,2.6
F093,25.37,2.5
F239,83.38,2.6
F238,89.14,2.4
F300,87.5,2.5
F325,89.62,3.2
F457,34.05,0
F242,62.66,2.5
F097,90.01,2.4
F151,90.79,2.5
F073,90.39,5.1
F343,62.08,2.6
F366,85.54,2.8
F227,88.02,2.5
F063,90.39,4.8
F363,39.84,2.5
F295,86.82,2.6
F069,90.76,4.8
F342,83.42,2.4
F027,90.23,2.3
F278,90.17,2.5
F217,47.29,2.5
F031,90.13,4.5
F279,88.9,2.8
F143,88.58,2.3
F282,49.6,2.5
F161,87.14,2.3
F273,89.25,2.6
F033,53.92,2.6
F196,88.11,3.8
F352,84.59,2.6
F253,77.98,2.5
F195,88.88,2.8
F426,86.49,0
F368,84.57,2.9
F158,89.03,3.8
F334,88.27,2.6
F169,86.94,2.6
F200,82.01,2.4
F341,77.08,2.3
F079,1.97,0
F436,19.07,0
F348,73.79,2.4
F229,89.78,2.4
F311,74.1,2.4
F420,49.92,2.5
F303,75.23,2.5
F459,85.43,2.5
F263,60.14,2.5
F044,89.39,6.2
F034,90.13,3.7
F414,46.47,0
F345,77.9,2.5
F050,54.05,2.5
F214,60.5,2.5
F127,89.76,5
F098,39.24,2.4
F192,86.91,2.9
F344,73.03,2.6
F453,29.32,0
F428,1.45,0
F099,48.45,2.4
F438,73.93,2.5
F165,90.63,4.4
F456,72.54,2.4
F405,89.8,6
F135,89.84,4
F259,74.34,2.5
F224,82.23,2.4
F275,71.19,2.4
F424,90.35,2.8
F357,87.01,2.5
F249,92.22,2.6
F394,85.04,2.6
F014,87.14,2.2
F170,51.4,2.5
F285,86.73,2.5
F336,86.15,2.4
F163,90.44,3.6
F183,89.05,2.4
F392,90.56,5.7
F371,90.5,2.4
F386,89.62,2.5
F053,88.55,4.6
F102,90.83,3.3
F194,89.91,2.4
F264,87.06,2.4
F403,90.62,5.3
F400,85.77,2.4
F284,80.5,2.5
F082,90.35,2.6
F207,86.66,2.4
F233,85.62,2.6
F128,89.97,4.8
F362,71.6,2.6
F332,85.35,2.6
F181,77.14,2.4
F367,83.4,2.7
F152,90.34,8.2
F281,52.88,2.6
F123,89.3,2.4
F056,71.89,0
F452,39.5,2.6
F433,84.78,2.4
F202,87.78,2.7
F354,66.22,2.5
F439,44.12,2.6
F372,75.1,2.5
F455,14.06,0
F026,88.11,2.3
F395,91.41,2.4
F047,90.03,3.2
F267,82.93,2.5
F309,87.11,2.7
F147,90.78,2.5
F140,89.16,2.6
F057,27.29,2.4
F139,53.75,2.4
F213,83.11,2.5
F064,78.52,2.5
F187,88.95,2.6
F076,88.96,2.3
F353,86.32,2.8
F274,14.63,2.5
F251,55.4,2.6
F418,26.08,0
F447,88.86,2.4
F131,89.05,2.4
F268,77.42,2.5
F327,25.24,2.5
F011,90.28,3.4
F094,90.26,4.7
F247,78.37,2.5
F250,54.68,2.4
F201,61.76,2.4
F054,46.66,2.4
F226,71.78,2.5
F265,48.9,2.6
F316,85.21,2.4
F036,0.15,0
F074,49.37,2.5
F458,85.27,2.5
F184,88.44,2.4
F321,85.62,3
F402,83.82,2.8
F043,85.17,5.2
F246,79.67,2.5
F305,74.31,2.4
F208,58.15,2.5
F092,10.86,2.4
F302,89.76,2.6
F347,77.37,2.5
F396,80.83,2.4
F037,33.44,2.4
F258,87.68,2.4
F241,62.13,2.5
F454,16.51,2.6
F430,12.65,0
F162,90.7,2.9
F081,1.79,2.5
F004,81.82,2.6
F425,84.45,2.4
F150,54.93,2.3
F065,90.29,2.3
F399,87.57,3.6
F212,43.1,1.1
F304,89.82,1.6
F008,78.97,2.5
F423,6.25,0
F329,89.1,2.4
F298,77.35,1.6
F071,30.43,2.5
F145,87.95,3
F398,86.21,2.5
F113,89.41,6.2
F028,90.8,2.2
F384,76.04,2.5
F203,14.31,2.6
F191,85.38,2.4
F427,1.51,0
F404,87.62,2.9
F003,90.6,3.9
F435,88.14,2.5
F340,81.56,2.5
F382,86.53,4.3
F218,90.16,2.8
F256,81.61,2.5
F083,89.16,5
F179,41.95,2.4
F401,85.3,2.5
F406,48.82,2.6
F317,77.47,2.4
F306,90.02,2.4
F119,89.93,4.6
F221,80.87,2.5
F387,75.64,2.4
F415,65.25,2.5
F084,90.26,3.1
F252,57.55,2.5
F375,78.24,2.5
F337,82.11,2.5
F157,83.18,2.4
F039,87.36,2.3
F280,67.67,2.5
F215,71.83,2.5
F040,77.06,0
F320,89.41,4.7
F288,90.04,2.4
F324,83.34,2.6
F440,79.19,2.5
F124,86.39,2.4
F091,43.92,2.4
F330,86.94,2.9
F369,87.2,3.4
F154,68.3,2.4
F335,86.88,2.5
F049,90.14,4.5
F144,89.97,3
F277,69.06,2.5
F048,0.72,0
F261,83.99,2.4
F018,88.96,2.3
F095,88.23,2.4
F413,46.64,2.5
F356,86.58,2.6
F166,86.69,2.5
F173,51.19,2.6
F038,90.78,2.4
F269,62.52,2.6
F025,83.61,2.4
F292,84.04,2.5
F104,89.05,2.3
F319,87.6,2.3
F326,66.11,2.5
F301,84.54,2.3
F383,87.13,2.3
F159,90.02,4.5
F314,36.89,2.5
F397,76.14,2.5
F451,3.61,0
F393,68.88,2.5
F013,89.09,2.5
F231,87.88,2.8
F322,87.8,4.9
F409,90.3,2.8
F460,16.12,2.5
F432,5.81,0
F374,83.02,2.7
F101,89.93,3.3
F283,84.97,2.8
F060,20.54,2.4
F308,84.2,2.7
F364,87.37,2.5
F293,81.9,2.5
F055,57.25,2.3
F315,66.5,2.4
F349,56.41,2.5
F045,90.24,4.6
F167,89.25,2.3
F030,15.85,0
F220,44.02,2.5
F422,64.4,0
F289,85.3,2.4
F444,38.07,2.6
F062,90,2.3
F266,73.37,2.5
F110,90.13,2.4
F381,89.28,4.1
F290,89.81,2.7
F142,90.01,2.2
F389,88.13,2.9
F390,87.78,2.4
F313,54.47,2.5
F323,87.97,2.8
F046,10.04,0
F299,57.53,2.4
F421,17.02,0
F108,90.77,2.5
F365,60.74,2.5
F174,62.27,2.5
F257,86.95,2.4
F085,89.87,4.1
F112,86.74,2.4
F370,67.24,2.5
F380,80.54,2.4
F122,90.32,2.3
F180,15.84,2.5
F248,76.4,2.5
F168,51.07,0
F017,87.59,2.4
F446,64.39,2.5
F350,85.73,2.4
F041,89.21,4.9
F005,89.18,1.9
F412,89.55,2.5
F134,90.53,2.4
F171,47.69,2.5
F312,78.26,2.4
F358,88.42,2.7
F080,41.87,2.5
F211,84.52,2.4
F059,41.05,2.5
F160,89.29,5.8
F001,88.94,5
F346,80.78,2.4
F429,91.06,2.5
F086,87.04,2.3
F272,62.56,2.5
F058,42.53,2.3
F024,88.77,1.9
F449,12.11,0
F411,34.21,2.5
F461,58.16,2.5
F035,0.33,0
F410,90.58,2.4
F188,83.58,2.4
F228,89.29,5.1
F234,71.82,2.5
F219,87.1,2.4
F388,80.55,2.3
F002,90.23,3.4
F164,89.27,2.4
F090,7.14,0
F012,82.63,1.2
F235,66.42,2.6
F006,87.82,2.7
F107,90.46,4.2
F068,89.16,2.5
F146,1.31,2.3
F328,87.84,2.8
F377,42.05,2.9
F442,16.41,0
F175,9.78,2.4
F434,71.29,2.4
F204,79.75,2.5
F448,83.91,2.3
F023,89.01,2.5
F307,79.93,2.4
F240,62.11,2.5
F338,84.99,2.5
F407,89.38,2.5
F417,59.1,3
F032,0.1,0
F126,85.7,2.8
F015,62.16,2.3
NA,3.48,NA
NA,0.09,NA
NA,0.17,NA
NA,0.49,NA
NA,0.55,NA
NA,0.21,NA
