Fish.ID,total,unmapped,primary
F117,2074118,337899,1736219
F121,2754596,635886,2118710
ExtNeg1,166498,159557,6941
ExtNeg2,203030,96650,106380
ExtNeg3,77484,44696,32788
ExtNeg4,2187320,2164701,22619
ExtNeg5,78532,69156,9376
F122,6431980,1331640,5100340
F130,2070844,1075424,995420
ExtNeg6,247348,242232,5116
ExtNeg7,37066,33248,3818
F116,10988990,2235134,8753856
F126,15975726,3134667,12841059
F124,20877556,4374153,16503403
F131,12897016,2099656,10797360
F118,21171790,3651941,17519849
F128,21819658,7030367,14789291
F125,21077960,4065355,17012605
F127,22151552,1808995,20342557
F133,14042002,3311159,10730843
F135,3960476,699605,3260871
F140,207150,186188,20962
F134,13087802,3005470,10082332
F021,2681834,490416,2191418
F132,30025874,5706166,24319708
F141,8121932,561171,7560761
F129,44491932,2198674,42293258
F035,9726718,1975794,7750924
F143,6423016,1762610,4660406
F138,12475810,2221708,10254102
F144,3364912,811843,2553069
F009,12024154,2153729,9870425
F142,11330016,2607720,8722296
F139,16989490,4168999,12820491
F036,16911338,4851358,12059980
F137,19748822,2989892,16758930
F147,3971554,1297657,2673897
F038,3139992,790443,2349549
F039,2251320,443730,1807590
F149,2439826,1034003,1405823
F040,979442,495607,483835
F150,3139876,801410,2338466
F136,30727018,5225868,25501150
F044,107824,74027,33797
F154,1010754,483670,527084
F042,2271270,705987,1565283
F043,5364038,854594,4509444
F172,1651094,379552,1271542
F145,15269194,2787730,12481464
F156,3491098,705348,2785750
F037,24530224,4332523,20197701
F046,2464678,506923,1957755
F153,9749658,1557040,8192618
F155,11866886,2353733,9513153
F199,2889284,992154,1897130
F047,16320868,15394267,926601
F148,30064504,6539647,23524857
F186,18073090,3451327,14621763
F190,13266638,3011707,10254931
F206,8442202,1899888,6542314
F151,31192830,6863156,24329674
F177,25310812,6534588,18776224
F146,42375890,7927218,34448672
F235,2200098,653285,1546813
F209,13868826,3398789,10470037
F049,19648786,3470391,16178395
F236,2230568,476343,1754225
F176,35204414,6027992,29176422
F243,861234,618018,243216
F245,1166734,244549,922185
F048,34426400,6870269,27556131
F239,10923120,2596965,8326155
F051,908480,478551,429929
F242,6575624,1768092,4807532
F050,20593444,4564282,16029162
F237,13829856,3829969,9999887
F045,47832290,10949426,36882864
F052,3600534,1998363,1602171
F248,580510,288599,291911
F240,13765114,2283959,11481155
F210,29252676,6507605,22745071
F247,15959896,2567720,13392176
F054,2602200,551309,2050891
F249,10073960,1623166,8450794
F250,8482794,1904921,6577873
F053,10177516,1615993,8561523
F056,1454100,350194,1103906
F253,9436410,2106336,7330074
F055,8256136,1733690,6522446
F058,270216,119984,150232
F260,504582,240506,264076
F244,32025210,9149169,22876041
F255,14503592,2566367,11937225
F060,7931588,1830080,6101508
F193,65706862,11740996,53965866
F057,14992664,4670530,10322134
F251,26182652,4485103,21697549
F059,11675138,2586000,9089138
F261,11683832,1131320,10552512
F252,28517116,5304492,23212624
F257,17057408,2407148,14650260
F061,16630176,3884950,12745226
F256,23680712,4396951,19283761
F062,10616662,4809707,5806955
F266,303596,170124,133472
F264,4187982,959294,3228688
F258,28545498,1368251,27177247
F270,67572,59395,8177
F269,3954734,1061604,2893130
F063,15405788,3745388,11660400
F274,2594206,683464,1910742
F067,10368268,1740901,8627367
F263,22635596,3749382,18886214
F262,34630722,6594422,28036300
F265,20119042,2780460,17338582
F276,4160216,1111544,3048672
F273,14301372,2618720,11682652
F275,8869928,792787,8077141
F065,31342756,8874528,22468228
F279,766666,227474,539192
F271,21398276,3187336,18210940
F267,28237888,4975726,23262162
F268,28566922,4497300,24069622
F283,865986,306445,559541
F281,4420310,894478,3525832
F286,5627290,1262525,4364765
F278,18001024,3337456,14663568
F277,23438558,2189348,21249210
F289,2065980,622178,1443802
F288,7880478,1674563,6205915
F280,20313062,3648603,16664459
F066,44456774,4129205,40327569
F294,2237022,420039,1816983
F287,18457492,8460972,9996520
F290,10185084,1826034,8359050
F297,3439682,417805,3021877
F291,17616402,2847050,14769352
F295,8735138,1088239,7646899
F292,17932506,4141102,13791404
F300,3600910,744831,2856079
F303,1520288,305433,1214855
F301,12500498,2261048,10239450
F282,45140518,7387915,37752603
F285,44040696,6482466,37558230
F298,16499422,2684706,13814716
F302,9115856,1479891,7635965
F069,56676318,5345156,51331162
F293,39172238,6126080,33046158
F334,1904364,444799,1459565
F070,46227744,7095163,39132581
F331,17795908,2535958,15259950
F299,33483050,6334311,27148739
F341,909272,496566,412706
F072,32720854,6552177,26168677
F329,31540000,2180989,29359011
F342,9161240,1507030,7654210
F343,6445250,1020067,5425183
F075,10469630,1936094,8533536
F077,3404958,687409,2717549
F335,25239836,4062417,21177419
F333,31102040,3471693,27630347
F088,5615956,948999,4666957
F346,8203930,1385776,6818154
F089,4304184,806041,3498143
F345,13363716,2169055,11194661
F349,4803438,1420151,3383287
F338,37251118,5776940,31474178
F344,16641114,2358462,14282652
F304,59048190,9436640,49611550
F350,4133876,1758284,2375592
F332,46538170,5590337,40947833
F106,4342254,850590,3491664
F351,7446246,1713497,5732749
F105,10113540,2146149,7967391
F355,4720012,712086,4007926
F096,21746314,5053425,16692889
F336,52670658,7227132,45443526
F111,2452038,1923208,528830
F354,11782990,2018803,9764187
F358,6352008,1295927,5056081
F353,15391894,3458473,11933421
F112,1294600,231193,1063407
F068,127475472,23557095,103918377
F377,1517122,230942,1286180
F359,9267398,1572132,7695266
F356,14376912,1453717,12923195
F360,9067402,1806945,7260457
F378,4206048,1344559,2861489
F109,21467218,1740251,19726967
F113,13105004,2483843,10621161
F386,7636304,1958568,5677736
F352,36411438,7135829,29275609
F388,8339690,1202766,7136924
F391,3148818,538207,2610611
F390,8868324,1811998,7056326
F381,15237434,2563945,12673489
F380,19074420,2185686,16888734
F379,23967468,4781838,19185630
F394,3832210,933653,2898557
F382,27531262,4218941,23312321
F410,701896,346118,355778
F115,21743228,3824056,17919172
F397,10090118,1962278,8127840
F411,6978722,1396126,5582596
F412,5846150,861607,4984543
F413,4131238,715770,3415468
F398,18903984,3281724,15622260
F392,27948764,4681472,23267292
F395,33142080,5544352,27597728
F114,60558134,10863977,49694157
F431,16420316,2715677,13704639
F414,18956470,2817106,16139364
F441,14167346,2121836,12045510
F445,148854,134741,14113
F408,37530450,3589994,33940456
F389,68727374,10791513,57935861
F448,538546,166894,371652
F393,50470900,5564272,44906628
F447,3305730,1596593,1709137
