SIRIUS_ID	MS2	type	Project	FT_ID	name	molecularFormula	adduct	most specific class	level 5	subclass	class	superclass
0	MS2	all	HoloFish	1	0_MS2_all_HoloFish_1	C24H36O3	[M + H]+	"Monohydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
1	MS2	all	HoloFish	2	1_MS2_all_HoloFish_2	C13H25NO2	[M + H]+	Amino acids	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
2	MS2	all	HoloFish	3	2_MS2_all_HoloFish_3	C48H80O10	[M + H]+	"Hydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
3	MS2	all	HoloFish	4	3_MS2_all_HoloFish_4	C24H34O2	[M + H]+	"Bile acids, alcohols and derivatives"		"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
4	MS2	all	HoloFish	5	4_MS2_all_HoloFish_5	C16H33NO3	[M + H]+	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules
5	MS2	all	HoloFish	6	5_MS2_all_HoloFish_6	C24H38O4	[M + H]+	"Dihydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
6	MS2	all	HoloFish	7	6_MS2_all_HoloFish_7	C15H29NO3	[M + H]+	N-acyl-alpha amino acids	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
8	MS2	all	HoloFish	9	8_MS2_all_HoloFish_9	C31H40N6O4	[M + H]+	Hydroxysteroids		Hydroxysteroids	Steroids and steroid derivatives	Lipids and lipid-like molecules
9	MS2	all	HoloFish	10	9_MS2_all_HoloFish_10	C30H37N5O3	[M + H]+	"Hydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
11	MS2	all	HoloFish	12	11_MS2_all_HoloFish_12	C13H25NO3	[M + H]+	Fatty acids and conjugates		Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
12	MS2	all	HoloFish	13	12_MS2_all_HoloFish_13	C29H44N2O6	[M + H]+	Glycinated bile acids and derivatives	Glycinated bile acids and derivatives	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
13	MS2	all	HoloFish	14	13_MS2_all_HoloFish_14	C22H43NO	[M + H]+	Fatty amides		Fatty amides	Fatty Acyls	Lipids and lipid-like molecules
14	MS2	all	HoloFish	15	14_MS2_all_HoloFish_15	C29H41NO7	[M + Na]+	Glycinated bile acids and derivatives	Glycinated bile acids and derivatives	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
15	MS2	all	HoloFish	16	15_MS2_all_HoloFish_16	C17H24O3	[M + H]+	Carboxylic acid esters	Carboxylic acid esters	Carboxylic acid derivatives	Carboxylic acids and derivatives	Organic acids and derivatives
18	MS2	all	HoloFish	19	18_MS2_all_HoloFish_19	C11H12O	[M + H]+	Benzene and substituted derivatives			Benzene and substituted derivatives	Benzenoids
19	MS2	all	HoloFish	20	19_MS2_all_HoloFish_20	C27H48O8	[M + H]+	Triacylglycerols	Triacylglycerols	Triradylcglycerols	Glycerolipids	Lipids and lipid-like molecules
20	MS2	all	HoloFish	21	20_MS2_all_HoloFish_21	C48H83NO10	[M + H]+	"Dihydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
21	MS2	all	HoloFish	22	21_MS2_all_HoloFish_22	C27H51NO8	[M + H]+	Sphingolipids			Sphingolipids	Lipids and lipid-like molecules
22	MS2	all	HoloFish	23	22_MS2_all_HoloFish_23	C17H24O	[M + Na]+	Organooxygen compounds			Organooxygen compounds	Organic oxygen compounds
23	MS2	all	HoloFish	24	23_MS2_all_HoloFish_24	C13H23NO2	[M + H]+	Long-chain fatty acids	Long-chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
24	MS2	all	HoloFish	25	24_MS2_all_HoloFish_25	C3H6BF2O2	[M + Na]+	Boronic acid derivatives			Boronic acid derivatives	Organic acids and derivatives
25	MS2	all	HoloFish	26	25_MS2_all_HoloFish_26	C10H24B2O4	[M + H]+	Fatty acids and conjugates		Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
26	MS2	all	HoloFish	27	26_MS2_all_HoloFish_27	C2H5N2O2S	[M + K]+	Thiadiazoles		Thiadiazoles	Azoles	Organoheterocyclic compounds
27	MS2	all	HoloFish	28	27_MS2_all_HoloFish_28	C24H35N5O10	[M + H]+	N-acyl amines	N-acyl amines	Fatty amides	Fatty Acyls	Lipids and lipid-like molecules
28	MS2	all	HoloFish	29	28_MS2_all_HoloFish_29	C18H30O3	[M + H]+	Lineolic acids and derivatives		Lineolic acids and derivatives	Fatty Acyls	Lipids and lipid-like molecules
29	MS2	all	HoloFish	30	29_MS2_all_HoloFish_30	C30H37N5O2	[M + Na]+	Amino acids and derivatives	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
30	MS2	all	HoloFish	31	30_MS2_all_HoloFish_31	C33H37NO7	[M + H]+	"Trihydroxy bile acids, alcohols and derivatives"	"Hydroxy bile acids, alcohols and derivatives"	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
31	MS2	all	HoloFish	32	31_MS2_all_HoloFish_32	C12H20O3	[M + H]+	Unsaturated fatty acids	Unsaturated fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
32	MS2	all	HoloFish	33	32_MS2_all_HoloFish_33	C15H24O6	[M + H]+	Enoate esters	Carboxylic acid esters	Carboxylic acid derivatives	Carboxylic acids and derivatives	Organic acids and derivatives
33	MS2	all	HoloFish	34	33_MS2_all_HoloFish_34	C9H7BClN3O	[M + H]+	Aryl chlorides		Aryl chlorides	Aryl halides	Organohalogen compounds
34	MS2	all	HoloFish	35	34_MS2_all_HoloFish_35	C30H41NO8	[M + Na]+	Glycinated bile acids and derivatives	Glycinated bile acids and derivatives	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
35	MS2	all	HoloFish	36	35_MS2_all_HoloFish_36	C15H12O3	[M + H]+	Benzophenones		Benzophenones	Benzene and substituted derivatives	Benzenoids
36	MS2	all	HoloFish	37	36_MS2_all_HoloFish_37	C12H25NO	[M + H]+	Fatty amides		Fatty amides	Fatty Acyls	Lipids and lipid-like molecules
37	MS2	all	HoloFish	38	37_MS2_all_HoloFish_38	C24H38O4	[M + H]+	Benzoic acid esters	Benzoic acid esters	Benzoic acids and derivatives	Benzene and substituted derivatives	Benzenoids
38	MS2	all	HoloFish	39	38_MS2_all_HoloFish_39	C14H8O2	[M + H]+	Anthraquinones		Anthraquinones	Anthracenes	Benzenoids
39	MS2	all	HoloFish	40	39_MS2_all_HoloFish_40	C4H4N2O3S	[M + Na]+	Azoles			Azoles	Organoheterocyclic compounds
40	MS2	all	HoloFish	41	40_MS2_all_HoloFish_41	C12H18O2	[M + H]+	Carboxylic acids		Carboxylic acids	Carboxylic acids and derivatives	Organic acids and derivatives
42	MS2	all	HoloFish	43	42_MS2_all_HoloFish_43	C29H37NO4	[M + H]+	"Bile acids, alcohols and derivatives"		"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
44	MS2	all	HoloFish	45	44_MS2_all_HoloFish_45	C27H45NO6	[M + H]+	Glycinated bile acids and derivatives	Glycinated bile acids and derivatives	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
45	MS2	all	HoloFish	46	45_MS2_all_HoloFish_46	C30H35N5O	[M + H]+	3-beta-hydroxy delta-5-steroids	3-hydroxysteroids	Hydroxysteroids	Steroids and steroid derivatives	Lipids and lipid-like molecules
46	MS2	all	HoloFish	47	46_MS2_all_HoloFish_47	C4H4N2O3S	[M + Na]+	Heteroaromatic compounds			Heteroaromatic compounds	Organoheterocyclic compounds
47	MS2	all	HoloFish	48	47_MS2_all_HoloFish_48	C3H6O3P	[M + K]+	Carboxylic acids		Carboxylic acids	Carboxylic acids and derivatives	Organic acids and derivatives
48	MS2	all	HoloFish	49	48_MS2_all_HoloFish_49	C6H8O2	[M + H]+	Unsaturated fatty acids	Unsaturated fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
50	MS2	all	HoloFish	51	50_MS2_all_HoloFish_51	C9H16O3	[M + H]+	Fatty Acyls			Fatty Acyls	Lipids and lipid-like molecules
51	MS2	all	HoloFish	52	51_MS2_all_HoloFish_52	C44H86N2O2	[M + H]+	Ceramides		Ceramides	Sphingolipids	Lipids and lipid-like molecules
52	MS2	all	HoloFish	53	52_MS2_all_HoloFish_53	CH4BBrO3	[M + H]+	Boronic acids		Boronic acids	Boronic acid derivatives	Organic acids and derivatives
53	MS2	all	HoloFish	54	53_MS2_all_HoloFish_54	C12H18O5	[M + H]+	Acrylic acid esters	Acrylic acid esters	Acrylic acids and derivatives	Carboxylic acids and derivatives	Organic acids and derivatives
54	MS2	all	HoloFish	55	54_MS2_all_HoloFish_55	C4H6Cl2NO	[M + H]+	Organochlorides			Organochlorides	Organohalogen compounds
55	MS2	all	HoloFish	56	55_MS2_all_HoloFish_56	C26H50N2O4	[M + H]+	Fatty acid esters		Fatty acid esters	Fatty Acyls	Lipids and lipid-like molecules
56	MS2	all	HoloFish	57	56_MS2_all_HoloFish_57	C16H29FN4O	[M + H]+	Triazoles		Triazoles	Azoles	Organoheterocyclic compounds
57	MS2	all	HoloFish	58	57_MS2_all_HoloFish_58	C6H10O2	[M + H]+	Straight chain fatty acids	Straight chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
58	MS2	all	HoloFish	59	58_MS2_all_HoloFish_59	C10H14ClN2O3PS	[M + Na]+	Chlorobenzenes	Chlorobenzenes	Halobenzenes	Benzene and substituted derivatives	Benzenoids
59	MS2	all	HoloFish	60	59_MS2_all_HoloFish_60	C14H20N4	[M + H]+	Azoles			Azoles	Organoheterocyclic compounds
60	MS2	all	HoloFish	61	60_MS2_all_HoloFish_61	C29H35N3O7	[M + H]+	Nitroaromatic compounds	C-nitro compounds	Organic nitro compounds	"Allyl-type 1,3-dipolar organic compounds"	"Organic 1,3-dipolar compounds"
61	MS2	all	HoloFish	62	61_MS2_all_HoloFish_62	C33H37NO7	[M + H]+	Glycinated bile acids and derivatives	Glycinated bile acids and derivatives	"Bile acids, alcohols and derivatives"	Steroids and steroid derivatives	Lipids and lipid-like molecules
62	MS2	all	HoloFish	63	62_MS2_all_HoloFish_63	C26H29N9O5	[M + Na]+	Amino acids and derivatives	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives
63	MS2	all	HoloFish	64	63_MS2_all_HoloFish_64	C8H14O2	[M + H]+	Fatty Acyls			Fatty Acyls	Lipids and lipid-like molecules
64	MS2	all	HoloFish	65	64_MS2_all_HoloFish_65	C31H37N5O4	[M + H]+	Steroids and steroid derivatives			Steroids and steroid derivatives	Lipids and lipid-like molecules
66	MS2	all	HoloFish	67	66_MS2_all_HoloFish_67	C3H4F3NO	[M + Na]+	Alkyl fluorides		Alkyl fluorides	Alkyl halides	Organohalogen compounds
67	MS2	all	HoloFish	68	67_MS2_all_HoloFish_68	C8H14O2	[M + H]+	Carboxylic acid esters	Carboxylic acid esters	Carboxylic acid derivatives	Carboxylic acids and derivatives	Organic acids and derivatives
69	MS2	all	HoloFish	70	69_MS2_all_HoloFish_70	C9H14O2	[M + H]+	Unsaturated fatty acids	Unsaturated fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
70	MS2	all	HoloFish	71	70_MS2_all_HoloFish_71	C12H14O4	[M + H]+	Benzoic acid esters	Benzoic acid esters	Benzoic acids and derivatives	Benzene and substituted derivatives	Benzenoids
72	MS2	all	HoloFish	73	72_MS2_all_HoloFish_73	C2H3Cl2O	[M + Na]+	Aryl-aldehydes	Aldehydes	Carbonyl compounds	Organooxygen compounds	Organic oxygen compounds
73	MS2	all	HoloFish	74	73_MS2_all_HoloFish_74	C3H3FN4O2	[M + K]+	Azoles			Azoles	Organoheterocyclic compounds
77	MS2	all	HoloFish	78	77_MS2_all_HoloFish_78	C15H27NO6	[M + H]+	O-glycosyl compounds	Glycosyl compounds	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds
78	MS2	all	HoloFish	79	78_MS2_all_HoloFish_79	C2HNO2S	[M + Na]+	Azoles			Azoles	Organoheterocyclic compounds
79	MS2	all	HoloFish	80	79_MS2_all_HoloFish_80	C9H8O2	[M + H]+	Benzoic acids and derivatives		Benzoic acids and derivatives	Benzene and substituted derivatives	Benzenoids
80	MS2	all	HoloFish	81	80_MS2_all_HoloFish_81	C11H21FN4O	[M + H]+	Alkyl fluorides		Alkyl fluorides	Alkyl halides	Organohalogen compounds
81	MS2	all	HoloFish	82	81_MS2_all_HoloFish_82	C5H8O2	[M + H]+	Straight chain fatty acids	Straight chain fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
82	MS2	all	HoloFish	83	82_MS2_all_HoloFish_83	C7H12O2	[M + H]+	Monocarboxylic acids and derivatives		Monocarboxylic acids and derivatives	Carboxylic acids and derivatives	Organic acids and derivatives
83	MS2	all	HoloFish	84	83_MS2_all_HoloFish_84	CH4BBrO3	[M + H]+	Boronic acids		Boronic acids	Boronic acid derivatives	Organic acids and derivatives
84	MS2	all	HoloFish	85	84_MS2_all_HoloFish_85	C3H6BF2O2	[M + Na]+	Boronic acid derivatives			Boronic acid derivatives	Organic acids and derivatives
85	MS2	all	HoloFish	86	85_MS2_all_HoloFish_86	C5H8O2	[M + H]+	Unsaturated fatty acids	Unsaturated fatty acids	Fatty acids and conjugates	Fatty Acyls	Lipids and lipid-like molecules
86	MS2	all	HoloFish	87	86_MS2_all_HoloFish_87	C3H4F3NO	[M + Na]+	Alkyl fluorides		Alkyl fluorides	Alkyl halides	Organohalogen compounds
