Lab.ID,Feed.Type,Fish.nr,Sample.Type,Fish.ID,Replicate,Sample
BM_2_GutContent,BioMar,2,GutContent,BM_2,a,BM_2a
BM_8_GutContent,BioMar,8,GutContent,BM_8,a,BM_8a
BM_17_GutContent,BioMar,17,GutContent,BM_17,a,BM_17a
BM_20_GutContent,BioMar,20,GutContent,BM_20,a,BM_20a
BM_26_GutContent,BioMar,26,GutContent,BM_26,a,BM_26a
BM_35_GutContent,BioMar,35,GutContent,BM_35,a,BM_35a
BM_38_GutContent,BioMar,38,GutContent,BM_38,a,BM_38a
BM_47_GutContent,BioMar,47,GutContent,BM_47,a,BM_47a
BM_54_GutContent,BioMar,54,GutContent,BM_54,a,BM_54a
BM_63_GutContent,BioMar,63,GutContent,BM_63,a,BM_63a
BM_67_GutContent,BioMar,67,GutContent,BM_67,a,BM_67a
BM_82_GutContent,BioMar,82,GutContent,BM_82,a,BM_82a
BM_90_GutContent,BioMar,90,GutContent,BM_90,a,BM_90a
BM_97_GutContent,BioMar,97,GutContent,BM_97,a,BM_97a
BM_103_GutContent,BioMar,103,GutContent,BM_103,a,BM_103a
BM_113_GutContent,BioMar,113,GutContent,BM_113,a,BM_113a
BM_121_GutContent,BioMar,121,GutContent,BM_121,a,BM_121a
BM_132_GutContent,BioMar,132,GutContent,BM_132,a,BM_132a
BM_144_GutContent,BioMar,144,GutContent,BM_144,a,BM_144a
BM_154_GutContent,BioMar,154,GutContent,BM_154,a,BM_154a
BM_168_GutContent,BioMar,168,GutContent,BM_168,a,BM_168a
BM_183_GutContent,BioMar,183,GutContent,BM_183,a,BM_183a
BM_189_GutContent,BioMar,189,GutContent,BM_189,a,BM_189a
BM_199_GutContent,BioMar,199,GutContent,BM_199,a,BM_199a
BM_207_GutContent,BioMar,207,GutContent,BM_207,a,BM_207a
BM_421_GutContent,BioMar,421,GutContent,BM_421,a,BM_421a
BM_458_GutContent,BioMar,458,GutContent,BM_458,a,BM_458a
Ext.blank1_GutContent,blank,blank_GutContent,blank,Ext_blank1,a,Ext_blank1a
Ext.blank2_GutContent,blank,blank_GutContent,blank,Ext_blank2,a,Ext_blank2a
E_216_GutContent,EWOS,216,GutContent,E_216,a,E_216a
E_227_GutContent,EWOS,227,GutContent,E_227,a,E_227a
E_231_GutContent,EWOS,231,GutContent,E_231,a,E_231a
E_241_GutContent,EWOS,241,GutContent,E_241,a,E_241a
E_242_GutContent,EWOS,242,GutContent,E_242,a,E_242a
E_243_GutContent,EWOS,243,GutContent,E_243,a,E_243a
E_249_GutContent,EWOS,249,GutContent,E_249,a,E_249a
E_263_GutContent,EWOS,263,GutContent,E_263,a,E_263a
E_266_GutContent,EWOS,266,GutContent,E_266,a,E_266a
E_271_GutContent,EWOS,271,GutContent,E_271,a,E_271a
E_281_GutContent,EWOS,281,GutContent,E_281,a,E_281a
E_292_GutContent,EWOS,292,GutContent,E_292,a,E_292a
E_299_GutContent,EWOS,299,GutContent,E_299,a,E_299a
E_300_GutContent,EWOS,300,GutContent,E_300,a,E_300a
E_316_GutContent,EWOS,316,GutContent,E_316,a,E_316a
