Sample,initial,primer.trimmed,filtered1,filtered2,dereplicated,representedASVs,preprocessed,paired,Pool,Fish.ID,Feed.Type,Sample.Type,prop_ASV,prop_filt
Fish_103a,53044,52700,17439,7719,4119,16875,54407,53044,Pool1,F103,Feed1,GutContent,0.967658696026148,0.328764799034764
Fish_103b,45213,42414,9878,3972,2671,9572,46312,45213,Pool6,F103,Feed1,GutTissue,0.969022069244786,0.218476986707363
Fish_113a,51828,51059,17129,8914,4495,16139,53104,51828,Pool1,F113,Feed1,GutContent,0.942203280985463,0.330497028633171
Fish_113b,46070,14532,4752,2340,1408,4514,47100,46070,Pool6,F113,Feed1,GutTissue,0.949915824915825,0.103147384415021
Fish_121a,20852,20730,8910,3886,2193,8594,21360,20852,Pool1,F121,Feed1,GutContent,0.964534231200898,0.427297141760982
Fish_121b,45680,37988,17007,7541,3568,16795,46758,45680,Pool6,F121,Feed1,GutTissue,0.987534544599283,0.372307355516637
Fish_132a,131300,130601,38275,18715,9238,36570,134617,131300,Pool1,F132,Feed1,GutContent,0.955453951665578,0.291507996953542
Fish_132b,48646,43501,14002,7113,3678,13571,49761,48646,Pool6,F132,Feed1,GutTissue,0.969218683045279,0.287834559881594
Fish_140a,15809,13343,194,98,128,116,16220,15809,Pool6,F140,Feed1,GutTissue,0.597938144329897,0.012271490922892
Fish_140b,25179,24735,5825,3406,1730,5537,25841,25179,Pool8,F140,Feed1,GutContent,0.950557939914163,0.231343579967433
Fish_144a,22754,22618,7623,3471,1946,7435,23299,22754,Pool1,F144,Feed1,GutContent,0.975337793519612,0.33501801880988
Fish_144b,10663,9465,3308,1541,903,3228,10916,10663,Pool6,F144,Feed1,GutTissue,0.975816203143894,0.310231642126981
Fish_154a,118023,117109,42649,20489,8415,41738,120966,118023,Pool1,F154,Feed1,GutContent,0.978639592956459,0.361361768468858
Fish_154b,22795,9358,167,77,110,95,23341,22795,Pool6,F154,Feed1,GutTissue,0.568862275449102,0.00732616801930248
Fish_168a,8278,8212,2364,1312,702,2235,8511,8278,Pool1,F168,Feed1,GutContent,0.945431472081218,0.28557622614158
Fish_168b,37372,25895,9402,4330,2292,9165,38233,37372,Pool6,F168,Feed1,GutTissue,0.974792597319719,0.251578722037889
Fish_17a,112317,111793,42291,19025,7369,41552,115225,112317,Pool1,F017,Feed1,GutContent,0.982525832919534,0.376532492855044
Fish_17b,67422,63531,25489,11299,4978,24983,69083,67422,Pool6,F017,Feed1,GutTissue,0.98014829926635,0.378051674527602
Fish_183a,107932,107211,37251,17865,7503,35892,110617,107932,Pool1,F183,Feed1,GutContent,0.963517757912539,0.345133973242412
Fish_183b,12007,11224,1527,937,530,1396,12296,12007,Pool6,F183,Feed1,GutTissue,0.914210870988867,0.127175814108437
Fish_189a,100682,100324,31842,15952,6851,30946,103089,100682,Pool2,F189,Feed1,GutContent,0.971861064003517,0.31626308575515
Fish_189b,97982,77976,13296,6441,3453,12847,100338,97982,Pool7,F189,Feed1,GutTissue,0.966230445246691,0.135698393582495
Fish_199a,43511,43191,11643,5915,3147,11114,44606,43511,Pool2,F199,Feed1,GutContent,0.954564974662888,0.267587506607525
Fish_199b,7575,3500,175,104,104,110,7734,7575,Pool7,F199,Feed1,GutTissue,0.628571428571429,0.0231023102310231
Fish_207a,60082,59849,21929,10162,4289,21536,61604,60082,Pool2,F207,Feed1,GutContent,0.982078526152583,0.364984521154422
Fish_207b,5772,4325,365,172,168,292,5911,5772,Pool7,F207,Feed1,GutTissue,0.8,0.0632363132363132
