#sample,preprocessed,adapter-containing,paired,singletons,retained.total,ave.length.bp,% retained,Pool,Sample.ID,Fish.ID,Replicate
Pool1.BM_103a,54407,118,53044,1363,107451,291.14,97.5%,Pool1,BM_103a,BM_103,a
Pool6.BM_103b,46312,10084,45213,1099,91525,281.651,97.6%,Pool6,BM_103b,BM_103,b
Pool1.BM_113a,53104,538,51828,1276,104932,290.851,97.6%,Pool1,BM_113a,BM_113,a
Pool6.BM_113b,47100,35616,46070,1030,93170,269.226,97.8%,Pool6,BM_113b,BM_113,b
Pool1.BM_121a,21360,24,20852,508,42212,291.451,97.6%,Pool1,BM_121a,BM_121,a
Pool6.BM_121b,46758,9926,45680,1078,92438,282.502,97.7%,Pool6,BM_121b,BM_121,b
Pool1.BM_132a,134617,38,131300,3317,265917,291.01,97.5%,Pool1,BM_132a,BM_132,a
Pool6.BM_132b,49761,9648,48646,1115,98407,282.337,97.8%,Pool6,BM_132b,BM_132,b
Pool6.BM_140a,16220,28068,15809,411,32029,222.845,97.5%,Pool6,BM_140a,BM_140,a
Pool8.BM_140b,25841,1098,25179,662,51020,287.62,97.4%,Pool8,BM_140b,BM_140,b
Pool1.BM_144a,23299,40,22754,545,46053,291.017,97.7%,Pool1,BM_144a,BM_144,a
Pool6.BM_144b,10916,2544,10663,253,21579,279.216,97.7%,Pool6,BM_144b,BM_144,b
Pool1.BM_154a,120966,330,118023,2943,238989,291.237,97.6%,Pool1,BM_154a,BM_154,a
Pool6.BM_154b,23341,29912,22795,546,46136,237.171,97.7%,Pool6,BM_154b,BM_154,b
Pool1.BM_168a,8511,112,8278,233,16789,290.291,97.3%,Pool1,BM_168a,BM_168,a
Pool6.BM_168b,38233,17670,37372,861,75605,271.228,97.7%,Pool6,BM_168b,BM_168,b
Pool1.BM_17a,115225,84,112317,2908,227542,291.241,97.5%,Pool1,BM_17a,BM_17,a
Pool6.BM_17b,69083,15032,67422,1661,136505,282.265,97.6%,Pool6,BM_17b,BM_17,b
Pool1.BM_183a,110617,64,107932,2685,218549,291.196,97.6%,Pool1,BM_183a,BM_183,a
Pool6.BM_183b,12296,8864,12007,289,24303,253.294,97.6%,Pool6,BM_183b,BM_183,b
