Sample, initial, primer-trimmed, filtered1, filtered2, dereplicated, representedASVs
BMF_10, 85801, 85138, 18147, 9322, 4674, 17310
BMF_1, 82729, 82154, 20347, 10574, 5152, 19437
BMF_2, 55547, 55214, 13335, 6236, 3515, 12733
BMF_3, 111673, 111208, 23930, 12547, 6318, 22529
BMF_4, 42970, 42632, 9801, 4671, 2772, 9339
BMF_5, 34672, 34527, 7562, 4258, 2173, 7126
BMF_6, 164262, 163286, 37469, 17733, 9024, 35407
BMF_7, 116485, 116094, 28472, 15224, 6854, 27321
BMF_8, 96680, 96089, 22979, 10789, 5776, 21896
BMF_9, 161017, 160461, 40631, 22357, 8813, 38628
BM_103a, 53044, 52700, 17439, 7719, 4119, 16875
BM_103b, 45213, 42414, 9878, 3972, 2671, 9572
BM_113a, 51828, 51059, 17129, 8914, 4495, 16139
BM_113b, 46070, 14532, 4752, 2340, 1408, 4514
BM_121a, 20852, 20730, 8910, 3886, 2193, 8594
BM_121b, 45680, 37988, 17007, 7541, 3568, 16795
BM_132a, 131300, 130601, 38275, 18715, 9238, 36570
BM_132b, 48646, 43501, 14002, 7113, 3678, 13571
BM_140a, 15809, 13343, 194, 98, 128, 116
BM_140b, 25179, 24735, 5825, 3406, 1730, 5537
BM_144a, 22754, 22618, 7623, 3471, 1946, 7435
BM_144b, 10663, 9465, 3308, 1541, 903, 3228
BM_154a, 118023, 117109, 42649, 20489, 8415, 41738
BM_154b, 22795, 9358, 167, 77, 110, 95
BM_168a, 8278, 8212, 2364, 1312, 702, 2235
BM_168b, 37372, 25895, 9402, 4330, 2292, 9165
BM_17a, 112317, 111793, 42291, 19025, 7369, 41552
BM_17b, 67422, 63531, 25489, 11299, 4978, 24983
BM_183a, 107932, 107211, 37251, 17865, 7503, 35892
BM_183b, 12007, 11224, 1527, 937, 530, 1396
BM_189a, 100682, 100324, 31842, 15952, 6851, 30946
BM_189b, 97982, 77976, 13296, 6441, 3453, 12847
BM_199a, 43511, 43191, 11643, 5915, 3147, 11114
BM_199b, 7575, 3500, 175, 104, 104, 110
BM_207a, 60082, 59849, 21929, 10162, 4289, 21536
BM_207b, 5772, 4325, 365, 172, 168, 292
BM_20a, 28254, 27937, 5966, 3383, 1798, 5505
BM_20b, 16352, 15151, 4838, 2369, 1227, 4682
BM_21a, 17182, 15117, 1888, 799, 595, 1795
BM_21b, 84285, 74346, 28643, 12863, 5951, 28092
BM_26a, 98542, 97855, 38792, 18944, 6195, 38249
BM_26b, 112, 42, 6, 2, 5, 2
BM_2a, 77223, 76880, 26709, 12395, 5888, 25534
BM_2b, 52409, 38931, 3916, 1726, 1353, 3620
BM_35a, 42562, 42300, 13404, 6263, 3300, 12976
BM_35b, 12922, 10153, 2614, 1259, 797, 2507
BM_38a, 126566, 125612, 42824, 19524, 9114, 41253
BM_38b, 65831, 40241, 8171, 3912, 2054, 7592
BM_421a, 28283, 27970, 8204, 4208, 2124, 7986
BM_421b, 211, 163, 7, 4, 6, 0
BM_445a, 2266, 703, 154, 74, 78, 121
BM_445b, 27939, 21633, 4005, 1980, 1382, 3736
BM_458a, 35047, 34882, 12039, 5249, 2996, 11671
BM_458b, 630, 435, 61, 26, 44, 34
BM_47a, 86235, 85781, 20819, 12344, 5757, 19432
BM_47b, 21947, 17069, 604, 351, 264, 512
BM_54a, 33279, 33057, 11516, 5468, 2565, 11343
BM_54b, 24911, 18201, 1345, 735, 668, 904
BM_63a, 95539, 94967, 38501, 17692, 7272, 37712
BM_63b, 8988, 3573, 421, 210, 143, 397
BM_67a, 49513, 49223, 19117, 8643, 3873, 18793
BM_67b, 30344, 29102, 4731, 2779, 1345, 4330
BM_82a, 20595, 20488, 7186, 3171, 1628, 7042
BM_82b, 18966, 16944, 4803, 2177, 1405, 4534
BM_8a, 29530, 29340, 10769, 5016, 2390, 10603
BM_8b, 32944, 25495, 8995, 4147, 1899, 8835
BM_90a, 75135, 74531, 28688, 13540, 5294, 28173
BM_90b, 95694, 68827, 14856, 6967, 3233, 14583
BM_97a, 57081, 56811, 23620, 10981, 4067, 23264
BM_97b, 95802, 83261, 28922, 13515, 5740, 28444
EF_10, 127155, 126373, 31390, 14925, 7185, 30016
EF_1, 258782, 257896, 68512, 36524, 13876, 66206
EF_2, 121429, 120261, 21347, 11703, 5628, 20042
EF_3, 81357, 81079, 20264, 10867, 4973, 19506
EF_4, 171445, 169818, 39721, 20164, 8794, 38185
EF_5, 86894, 86247, 20302, 11103, 4976, 19406
EF_6, 168503, 167343, 36374, 18505, 8571, 34734
EF_7, 125547, 124914, 29836, 16349, 6720, 28388
EF_8, 103001, 102417, 21326, 10576, 5400, 20279
EF_9, 149394, 148685, 42363, 22136, 8316, 40775
E_216a, 72009, 71691, 25834, 11704, 5013, 25391
E_216b, 73924, 62933, 13842, 6375, 3606, 13369
E_227a, 65131, 64817, 22338, 10803, 4166, 22016
E_227b, 52107, 51135, 17149, 7929, 3747, 16867
E_231a, 57842, 57581, 23979, 10754, 4360, 23699
E_231b, 38417, 28718, 10752, 4755, 2305, 10599
E_241a, 45495, 45274, 18063, 8107, 3535, 17813
