Fish.ID,Size.class,Gutted.Weight.kg,Fork.Length.cm,Live.Weight.kg,Team,Sampling.Date,Cage,Feed.Type,Salmofan.Score,Tapeworm,Tapeworm.bin,Deformity,Cataract,Wounds,Mbol.batch,FattyAcidProfile,HostGenome,HostTranscriptome,Metabolome,Metagenome
F001,Medium,3.24,66,3.73,B,09apr.18,7,Feed1,26,1,TRUE,N,N,2,Batch_1,FALSE,TRUE,TRUE,TRUE,FALSE
F010,Small,1.77,55,2,B,09apr.18,7,Feed1,22,1,TRUE,Y,N,0,Batch_1,TRUE,TRUE,TRUE,TRUE,TRUE
F101,Medium,3.21,64,3.73,B,10apr.18,7,Feed1,28,1,TRUE,Y,N,1,Batch_3,TRUE,TRUE,TRUE,TRUE,TRUE
F102,Medium,3.34,67,3.87,B,10apr.18,7,Feed1,26,1,TRUE,N,N,2,Batch_3,TRUE,TRUE,TRUE,TRUE,TRUE
F103,Large,5.22,74,6.01,B,10apr.18,7,Feed1,25,2,TRUE,Y,N,1,Batch_3,TRUE,TRUE,TRUE,TRUE,FALSE
F104,Medium,3.57,66.5,4.26,B,10apr.18,7,Feed1,27,1,TRUE,Y,N,0,Batch_3,TRUE,TRUE,TRUE,TRUE,TRUE
F105,Medium,3.91,70,4.63,B,10apr.18,7,Feed1,28,1,TRUE,N,N,0,NA,FALSE,FALSE,FALSE,FALSE,TRUE
F106,Medium,4,71,4.69,B,10apr.18,7,Feed1,26,2,TRUE,N,N,1,NA,FALSE,FALSE,FALSE,FALSE,TRUE
F107,Medium,3.4,68,4.05,B,10apr.18,7,Feed1,26,2,TRUE,N,N,1,Batch_3,TRUE,TRUE,TRUE,TRUE,FALSE
F108,Medium,3.99,70.5,4.64,B,10apr.18,7,Feed1,26,0,FALSE,N,N,0,Batch_3,TRUE,TRUE,TRUE,TRUE,TRUE
F109,Medium,3.79,70,4.36,B,10apr.18,7,Feed1,25,1,TRUE,N,Y,0,NA,FALSE,FALSE,FALSE,FALSE,TRUE
F011,Large,4.24,72.5,5.1,A,09apr.18,7,Feed1,25,1,TRUE,N,N,0,Batch_1,TRUE,TRUE,TRUE,TRUE,TRUE
F110,Small,1.24,51,1.47,B,10apr.18,7,Feed1,24,3,TRUE,N,N,1,Batch_3,TRUE,TRUE,TRUE,TRUE,FALSE
F111,Medium,3.73,66.5,4.33,A,10apr.18,7,Feed1,27,1,TRUE,N,N,0,Batch_3,TRUE,TRUE,TRUE,TRUE,TRUE
