type	GeneSymbol	ProductName
mRNA	sh3tc2	SH3domainandtetratricopeptiderepeats2
mRNA	LOC106604260	actin-bindingLIMprotein3%2CtranscriptvariantX2
mRNA	LOC106604260	actin-bindingLIMprotein3%2CtranscriptvariantX1
mRNA	LOC106604262	actinfilament-associatedprotein1-like1%2CtranscriptvariantX2
mRNA	LOC106604262	actinfilament-associatedprotein1-like1%2CtranscriptvariantX1
mRNA	LOC106604262	actinfilament-associatedprotein1-like1%2CtranscriptvariantX3
mRNA	LOC106604309	forkheadboxproteinI1-ema%2CtranscriptvariantX2
mRNA	LOC106604309	forkheadboxproteinI1-ema%2CtranscriptvariantX1
mRNA	LOC106604261	NEDD4-bindingprotein3-A%2CtranscriptvariantX1
mRNA	LOC106604261	NEDD4-bindingprotein3-A%2CtranscriptvariantX1
mRNA	LOC106604261	NEDD4-bindingprotein3-A%2CtranscriptvariantX5
mRNA	LOC106604261	NEDD4-bindingprotein3-A%2CtranscriptvariantX5
mRNA	LOC106604261	NEDD4-bindingprotein3-A%2CtranscriptvariantX6
mRNA	LOC106604261	NEDD4-bindingprotein3-A%2CtranscriptvariantX6
mRNA	LOC106604261	NEDD4-bindingprotein3-A%2CtranscriptvariantX3
mRNA	LOC106604261	NEDD4-bindingprotein3-A%2CtranscriptvariantX3
mRNA	LOC106604313	E3ubiquitin-proteintransferaseRMND5B
mRNA	LOC106604313	E3ubiquitin-proteintransferaseRMND5B
mRNA	LOC106604310	microtubule-associatedproteinfutsch%2CtranscriptvariantX3
mRNA	LOC106604310	microtubule-associatedproteinfutsch%2CtranscriptvariantX3
mRNA	LOC106604310	microtubule-associatedproteinfutsch%2CtranscriptvariantX1
mRNA	LOC106604310	microtubule-associatedproteinfutsch%2CtranscriptvariantX1
mRNA	LOC106604310	microtubule-associatedproteinfutsch%2CtranscriptvariantX2
mRNA	LOC106604310	microtubule-associatedproteinfutsch%2CtranscriptvariantX2
mRNA	LOC106604317	proheparin-bindingEGF-likegrowthfactor
mRNA	LOC106604317	proheparin-bindingEGF-likegrowthfactor
