Factor,Phenotype,cor.r,cor.logp,cor.p
Factor1,Feed.Type,-0.143034974052881,2.652608775855,0.00222531361033982
Factor1,Mbol.batch,-0.0286678706467757,0,1
Factor1,Size.class,-0.223412384010688,5.82864186061355,1.48374114259192e-06
Factor1,Tapeworm.bin,-0.000443068821047413,0,1
Factor10,Feed.Type,-0.327894557164489,12.1385479910885,7.26862073925672e-13
Factor10,Mbol.batch,0.00151098954812924,0,1
Factor10,Size.class,0.0493738181856448,0,1
Factor10,Tapeworm.bin,0.00841345237975527,0,1
Factor11,Feed.Type,0.13447743208842,2.39176663126379,0.00405726494571807
Factor11,Mbol.batch,0.04320154584671,0,1
Factor11,Size.class,-0.177730790874444,3.85899159361207,0.00013835931601278
Factor11,Tapeworm.bin,-0.040375184761182,0,1
Factor12,Feed.Type,0.0515081832392743,0,1
Factor12,Mbol.batch,-0.00463094104714795,0,1
Factor12,Size.class,0.0354233145324867,0,1
Factor12,Tapeworm.bin,0.00180563492399585,0,1
Factor13,Feed.Type,-0.0699158532585938,0,1
Factor13,Mbol.batch,-0.0443306512814568,0,1
Factor13,Size.class,-0.0655324866014467,0,1
Factor13,Tapeworm.bin,0.0057368105556676,0,1
Factor14,Feed.Type,-0.273022035857683,8.49378464453184,3.2078596252945e-09
Factor14,Mbol.batch,-0.191644399843382,3.36824593922396,0.000428305903791333
Factor14,Size.class,-0.219720009859691,5.65268602507091,2.22491782257112e-06
Factor14,Tapeworm.bin,-0.130521085729256,2.27596253384269,0.00529709139406429
Factor15,Feed.Type,0.14907082957259,2.84519246601423,0.00142826085676418
Factor15,Mbol.batch,-0.00772009480783691,0,1
Factor15,Size.class,-0.0556820590210289,0,1
Factor15,Tapeworm.bin,-0.0122389424428842,0,1
Factor2,Feed.Type,-0.0654369374301466,0,1
Factor2,Mbol.batch,-0.116971864244287,1.48688043485334,0.0325926419103205
Factor2,Size.class,0.183300671550466,4.07546516570171,8.40494419559438e-05
Factor2,Tapeworm.bin,0.0260232453127402,0,1
Factor3,Feed.Type,-0.21891645657181,5.61479257629641,2.42776934690959e-06
Factor3,Mbol.batch,-0.00993927421363094,0,1
Factor3,Size.class,-0.119285182346651,1.96338290397847,0.0108797044054494
Factor3,Tapeworm.bin,-0.351864098746999,13.9805361693753,1.04583658636022e-14
Factor4,Feed.Type,-0.0135362479418513,0,1
Factor4,Mbol.batch,0.0472350335677175,0,1
Factor4,Size.class,-0.00953088336639708,0,1
Factor4,Tapeworm.bin,0.0471038069467474,0,1
Factor5,Feed.Type,-0.033408979905523,0,1
Factor5,Mbol.batch,0.00933255606150191,0,1
Factor5,Size.class,0.18374617663453,4.09305798249552,8.07127263792851e-05
Factor5,Tapeworm.bin,0.117237755519596,1.90899635574295,0.0123311518051635
Factor6,Feed.Type,0.147485839908584,2.79392692421035,0.00160721166487829
Factor6,Mbol.batch,-0.0269262792184855,0,1
Factor6,Size.class,-0.0203193795637128,0,1
Factor6,Tapeworm.bin,-0.00214759189194087,0,1
Factor7,Feed.Type,-0.142951878396763,2.65000736897257,0.00223868315297241
Factor7,Mbol.batch,-0.0512735775318661,0,1
Factor7,Size.class,-0.0986249155846195,1.45028069702995,0.0354584137216694
Factor7,Tapeworm.bin,0.143323557517011,2.66165371285355,0.00217944687393356
Factor8,Feed.Type,-0.43927921567639,22.1620219676392,6.88617463567906e-23
Factor8,Mbol.batch,-0.127206682048465,1.69801904077704,0.0200438414720577
Factor8,Size.class,0.197748314502725,4.66721906022617,2.1516961350737e-05
Factor8,Tapeworm.bin,0.0659657272753566,0,1
Factor9,Feed.Type,0.125856924108371,2.14329377861108,0.00718962471129705
Factor9,Mbol.batch,0.107999787854755,1.3134211031591,0.0485935801267801
Factor9,Size.class,0.120629731166546,1.99952759217234,0.0100108835104641
Factor9,Tapeworm.bin,0.0648573989372019,0,1
