feature,factor,value,view
NC_059448.1+fel,Factor1,-0.112466998367139,HostRNA
NC_059468.1+LOC106588400,Factor1,-0.04707453916974,HostRNA
NC_059468.1+LOC123730958,Factor1,-0.0311463223504349,HostRNA
NC_001960.1+rna133439,Factor1,-0.0606837048949859,HostRNA
NC_059445.1+LOC106602161,Factor1,-0.0411638450603898,HostRNA
NC_059455.1+LOC106570190,Factor1,-0.0775838047221623,HostRNA
NC_059449.1+LOC106610497,Factor1,0.110902671373659,HostRNA
NC_059457.1+LOC106574241,Factor1,0.0602370893284551,HostRNA
NC_001960.1+rna133441,Factor1,-0.0413218788936356,HostRNA
NC_059443.1+afp4,Factor1,-0.0564813854856912,HostRNA
NC_059463.1+LOC123729671,Factor1,-0.0552333940270625,HostRNA
NC_059448.1+ubil,Factor1,0.0143524024670255,HostRNA
NC_059466.1+LOC106586541,Factor1,-0.0340646245659246,HostRNA
NC_059468.1+LOC123730988,Factor1,-0.0270526747903856,HostRNA
NC_059460.1+acta2,Factor1,0.0652634571845328,HostRNA
NC_059458.1+LOC106575168,Factor1,0.00309045883174256,HostRNA
NC_059448.1+zanl,Factor1,0.0980492096927066,HostRNA
NC_059443.1+LOC106581127,Factor1,-0.258566222603374,HostRNA
NC_059450.1+LOC106612300,Factor1,0.0403182848432732,HostRNA
NW_025550529.1+LOC123739521,Factor1,0.0390648880397121,HostRNA
NC_059469.1+LOC106589387,Factor1,0.068549086634017,HostRNA
NC_059444.1+elof1,Factor1,0.0010660402847256,HostRNA
NC_059447.1+ost4,Factor1,0.0275473724066282,HostRNA
NC_059443.1+LOC106574856,Factor1,0.0189584862643198,HostRNA
NC_059452.1+slc12a1,Factor1,-0.10347853765461,HostRNA
NC_001960.1+rna133438,Factor1,-0.00568771189455955,HostRNA
NC_059454.1+LOC106567267,Factor1,0.105625435865524,HostRNA
NC_059450.1+apoa1,Factor1,-0.038750777873153,HostRNA
NC_059445.1+LOC106602162,Factor1,-0.164121173711605,HostRNA
NC_059454.1+LOC106567403,Factor1,-0.0241674891551248,HostRNA
NC_059464.1+LOC106584699,Factor1,0.0590472802788134,HostRNA
NW_025549707.1+LOC106597196,Factor1,-0.0942385644885388,HostRNA
NC_059455.1+LOC106570173,Factor1,0.0609576309452335,HostRNA
NC_059451.1+LOC106560239,Factor1,-0.0225274909035816,HostRNA
NC_059464.1+LOC106584698,Factor1,-0.00254338077445778,HostRNA
NC_059448.1+zgc:194655,Factor1,-0.0400122567240247,HostRNA
NC_059459.1+LOC106576775,Factor1,0.0684233396820628,HostRNA
NC_059442.1+LOC106587655,Factor1,0.0118731648109654,HostRNA
NC_059444.1+cnn1b,Factor1,0.0164011412459911,HostRNA
NC_059454.1+LOC100380643,Factor1,-0.0297955247494881,HostRNA
NC_059443.1+LOC106589071,Factor1,-0.0165794352952649,HostRNA
NC_059443.1+gadl1,Factor1,0.0244789108091429,HostRNA
NC_059460.1+LOC106578890,Factor1,0.108175599778439,HostRNA
NC_059449.1+LOC106592508,Factor1,-0.0752368553457186,HostRNA
NC_059446.1+LOC123743132,Factor1,-0.00465903312523892,HostRNA
NC_059453.1+LOC123725565,Factor1,0.0374575626856982,HostRNA
NC_059442.1+LOC106569632,Factor1,0.125651132992987,HostRNA
NC_059470.1+LOC106590295,Factor1,0.0378343780726084,HostRNA
NC_059449.1+isp2,Factor1,-0.0548767093710142,HostRNA
NW_025547491.1+LOC123731929,Factor1,0.0237612997733835,HostRNA
NC_059443.1+LOC106587486,Factor1,0.100891268655741,HostRNA
NC_059450.1+LOC106610834,Factor1,0.0808046609760657,HostRNA
NC_059443.1+LOC106577499,Factor1,0.00564272056988124,HostRNA
NC_059456.1+LOC106571178,Factor1,0.0182454829018475,HostRNA
NC_059448.1+LOC106608845,Factor1,-0.000219637045614759,HostRNA
NW_025549708.1+LOC123738713,Factor1,-0.0784256858111519,HostRNA
NC_059443.1+LOC106577505,Factor1,-0.065547351064255,HostRNA
NW_025549279.1+LOC100380663,Factor1,-0.0738238231925928,HostRNA
NC_059461.1+ret2,Factor1,-0.0337673988203843,HostRNA
NC_059455.1+LOC100136439,Factor1,-0.0865136291293149,HostRNA
NC_059447.1+LOC123743428,Factor1,0.0511571667570726,HostRNA
NC_059451.1+rbpms2a,Factor1,-0.00543236406868703,HostRNA
NC_059448.1+LOC106599773,Factor1,-0.0104451296884317,HostRNA
NC_059450.1+LOC106611713,Factor1,0.0697963515775823,HostRNA
NC_059451.1+LOC100196494,Factor1,0.0368253792111684,HostRNA
NC_059444.1+LOC106601071,Factor1,0.000412465433718932,HostRNA
NC_059448.1+LOC106608508,Factor1,-0.000625089055451631,HostRNA
NC_059448.1+LOC106609541,Factor1,0.00163971778287126,HostRNA
NC_059457.1+LOC106573078,Factor1,0.0880428337235989,HostRNA
NC_059459.1+LOC106577917,Factor1,0.190810425504084,HostRNA
NC_059446.1+LOC106605287,Factor1,-0.0553397629684957,HostRNA
NC_059450.1+LOC106612633,Factor1,0.068579045747328,HostRNA
NC_059456.1+LOC106571269,Factor1,0.0048794000765744,HostRNA
