Factor,Phenotype,cor.r,cor.logp,cor.p
Factor1,Mbol.batch,-0.114949360933365,0,1
Factor1,Size.class,0.205370508959896,2.93158941695175,0.00117060556136402
Factor1,Tapeworm.bin,0.0244940609306411,0,1
Factor10,Mbol.batch,-0.0269148394079804,0,1
Factor10,Size.class,0.043956264689536,0,1
Factor10,Tapeworm.bin,0.0273466809936463,0,1
Factor11,Mbol.batch,-0.222861700931112,2.32342935949734,0.00474865524276936
Factor11,Size.class,-0.0353626768400565,0,1
Factor11,Tapeworm.bin,0.0524775917413871,0,1
Factor12,Mbol.batch,0.0329809883833238,0,1
Factor12,Size.class,0.00317232925123154,0,1
Factor12,Tapeworm.bin,-0.0338279792189017,0,1
Factor13,Mbol.batch,-0.00790833947425142,0,1
Factor13,Size.class,-0.00147376654334795,0,1
Factor13,Tapeworm.bin,0.0225147980985727,0,1
Factor14,Mbol.batch,0.0350652833542487,0,1
Factor14,Size.class,-0.194033084538136,2.65953734786183,0.00219009347931152
Factor14,Tapeworm.bin,-0.0308471389551776,0,1
Factor15,Mbol.batch,-0.0728820854464527,0,1
Factor15,Size.class,-0.0308752251200158,0,1
Factor15,Tapeworm.bin,-0.000186846998328208,0,1
Factor2,Mbol.batch,0.0204972092748009,0,1
Factor2,Size.class,-0.108909330044825,0,1
Factor2,Tapeworm.bin,0.0414169874357129,0,1
Factor3,Mbol.batch,-0.0703859594378501,0,1
Factor3,Size.class,0.0445436138664794,0,1
Factor3,Tapeworm.bin,0.279208464138662,5.0757834428372,8.39878680314369e-06
Factor4,Mbol.batch,0.0165663242813504,0,1
Factor4,Size.class,0.0673190977181576,0,1
Factor4,Tapeworm.bin,0.0287784831214791,0,1
Factor5,Mbol.batch,-0.121025393478227,0,1
Factor5,Size.class,-0.0594093829740252,0,1
Factor5,Tapeworm.bin,-0.120718063685179,0,1
Factor6,Mbol.batch,0.158227515346809,1.33375041277498,0.046371333729278
Factor6,Size.class,-0.163621017661817,2.00001914554701,0.00999955916720548
Factor6,Tapeworm.bin,-0.219154548450506,3.28212660016149,0.000522243928710108
Factor7,Mbol.batch,0.0721477100747925,0,1
Factor7,Size.class,0.268758016946106,4.73128192773091,1.85659882930491e-05
Factor7,Tapeworm.bin,0.014914520822824,0,1
Factor8,Mbol.batch,0.0046710850332263,0,1
Factor8,Size.class,0.237572080959366,3.78523885850365,0.000163968770998655
Factor8,Tapeworm.bin,0.0142171450494398,0,1
Factor9,Mbol.batch,-0.0625719407399984,0,1
Factor9,Size.class,-0.0298436385495207,0,1
Factor9,Tapeworm.bin,0.000837704479064765,0,1
