feature,factor,value,view
NC_059448.1+fel,Factor1,0.255397803853513,HostRNA
NC_059468.1+LOC106588400,Factor1,-0.136771231054909,HostRNA
NC_059468.1+LOC123730958,Factor1,-0.0438338100962657,HostRNA
NC_001960.1+rna133439,Factor1,-5.46291308976377e-05,HostRNA
NC_059445.1+LOC106602161,Factor1,-0.00691491782704146,HostRNA
NC_059455.1+LOC106570190,Factor1,-0.141129976477271,HostRNA
NC_059449.1+LOC106610497,Factor1,0.00072230434835742,HostRNA
NC_059457.1+LOC106574241,Factor1,0.84137851186499,HostRNA
NC_001960.1+rna133441,Factor1,0.00148967782483963,HostRNA
NC_059443.1+afp4,Factor1,-0.0304576681238093,HostRNA
NC_059463.1+LOC123729671,Factor1,-0.0238181327574937,HostRNA
NC_059448.1+ubil,Factor1,-0.00140675751288198,HostRNA
NC_059466.1+LOC106586541,Factor1,-0.152770712145067,HostRNA
NC_059468.1+LOC123730988,Factor1,-0.0178027475269625,HostRNA
NC_059460.1+acta2,Factor1,0.869044453269901,HostRNA
NC_059458.1+LOC106575168,Factor1,0.835039252439495,HostRNA
NC_059448.1+zanl,Factor1,0.00383559056802653,HostRNA
NC_059443.1+LOC106581127,Factor1,-0.109357953303956,HostRNA
NC_059450.1+LOC106612300,Factor1,-0.000794333877016722,HostRNA
NW_025550529.1+LOC123739521,Factor1,-0.00174601795826649,HostRNA
NC_059469.1+LOC106589387,Factor1,0.783208120950906,HostRNA
NC_059444.1+elof1,Factor1,0.831855422716183,HostRNA
NC_059447.1+ost4,Factor1,0.00795589189016007,HostRNA
NC_059443.1+LOC106574856,Factor1,0.0460961489258317,HostRNA
NC_059452.1+slc12a1,Factor1,0.215855124747452,HostRNA
NC_001960.1+rna133438,Factor1,-0.00011286923514309,HostRNA
NC_059454.1+LOC106567267,Factor1,-0.0281776490993318,HostRNA
NC_059450.1+apoa1,Factor1,-0.148850197579399,HostRNA
NC_059445.1+LOC106602162,Factor1,-0.0767900998760199,HostRNA
NC_059454.1+LOC106567403,Factor1,0.754923972727368,HostRNA
NC_059464.1+LOC106584699,Factor1,0.00532173895602832,HostRNA
NW_025549707.1+LOC106597196,Factor1,0.00106917866818674,HostRNA
NC_059455.1+LOC106570173,Factor1,0.00561678212226175,HostRNA
NC_059451.1+LOC106560239,Factor1,-0.0185234261982219,HostRNA
NC_059464.1+LOC106584698,Factor1,0.0114618375348653,HostRNA
NC_059448.1+zgc:194655,Factor1,-0.171574633999856,HostRNA
NC_059459.1+LOC106576775,Factor1,0.112217042634673,HostRNA
NC_059442.1+LOC106587655,Factor1,0.683275932297866,HostRNA
NC_059444.1+cnn1b,Factor1,0.708437190466907,HostRNA
NC_059454.1+LOC100380643,Factor1,0.822017380434359,HostRNA
NC_059443.1+LOC106589071,Factor1,0.794417727461711,HostRNA
NC_059443.1+gadl1,Factor1,0.0238706636696867,HostRNA
NC_059460.1+LOC106578890,Factor1,0.438323409886654,HostRNA
NC_059449.1+LOC106592508,Factor1,-0.0122684597509981,HostRNA
