sample,factor,value,group
F212,Factor1,-0.877593642599238,single_group
F213,Factor1,-0.513626168552412,single_group
F214,Factor1,0.78237729820352,single_group
F215,Factor1,-0.695123225614883,single_group
F216,Factor1,-1.53896712885904,single_group
F217,Factor1,-0.926006720265458,single_group
F218,Factor1,1.20786283446785,single_group
F219,Factor1,-0.728054761636831,single_group
F220,Factor1,-0.484945960746592,single_group
F221,Factor1,-1.04408459503215,single_group
F223,Factor1,-1.02088000637696,single_group
F224,Factor1,-1.58962244729762,single_group
F225,Factor1,-0.802341567657303,single_group
F226,Factor1,-0.712810216289955,single_group
F227,Factor1,0.691725971379563,single_group
F229,Factor1,-0.907815642693804,single_group
F230,Factor1,-1.31931232962434,single_group
F231,Factor1,-1.14080661997863,single_group
F232,Factor1,2.91478377917621,single_group
F233,Factor1,0.850756625366946,single_group
F234,Factor1,2.73032993995411,single_group
F235,Factor1,0.764103855668272,single_group
F236,Factor1,-0.657017222972974,single_group
F237,Factor1,2.71580447317736,single_group
F239,Factor1,-1.11583940893266,single_group
F240,Factor1,-1.60937596103436,single_group
F242,Factor1,0.901043780871177,single_group
F243,Factor1,1.05151464249049,single_group
F244,Factor1,-0.00978509475137401,single_group
F245,Factor1,1.97456099534462,single_group
F247,Factor1,-0.319437770421692,single_group
F248,Factor1,-0.681191485982048,single_group
F249,Factor1,0.45259186414946,single_group
F250,Factor1,-0.458806141192836,single_group
F251,Factor1,-1.25751095976866,single_group
F252,Factor1,-1.36911332599785,single_group
F253,Factor1,-1.10696038033164,single_group
F255,Factor1,-0.454037580883512,single_group
F256,Factor1,-1.08850871043391,single_group
F257,Factor1,1.51468092538169,single_group
F258,Factor1,-0.0441079476666414,single_group
F260,Factor1,0.0101964538948828,single_group
F261,Factor1,1.68676507880485,single_group
F262,Factor1,-0.926861831616703,single_group
F263,Factor1,-1.20354976570571,single_group
F264,Factor1,-0.0909707984306566,single_group
F265,Factor1,-0.181618436568258,single_group
F266,Factor1,0.527677134169358,single_group
F267,Factor1,-1.33541111500628,single_group
F268,Factor1,-0.199784606234717,single_group
F269,Factor1,-0.934217031116264,single_group
F271,Factor1,-0.518282069570971,single_group
F273,Factor1,-0.694528892719326,single_group
F274,Factor1,-0.00216492184841583,single_group
F275,Factor1,0.0895722928896767,single_group
F276,Factor1,-0.962934908654888,single_group
F277,Factor1,-1.02036452968554,single_group
F278,Factor1,-1.24277264237843,single_group
F279,Factor1,-0.672118087788843,single_group
F280,Factor1,-1.35604290369477,single_group
F281,Factor1,1.50292165082334,single_group
F282,Factor1,-0.693188771521582,single_group
F283,Factor1,2.39003192044144,single_group
F285,Factor1,-0.268279858049117,single_group
F286,Factor1,-0.530107529345267,single_group
F287,Factor1,-1.20342336785815,single_group
F288,Factor1,-1.03054249539846,single_group
F289,Factor1,0.929044329146471,single_group
F290,Factor1,-0.0717446802965366,single_group
F291,Factor1,-1.26752827846549,single_group
F292,Factor1,0.23166162613579,single_group
F293,Factor1,0.63524807904113,single_group
F294,Factor1,-0.740302027385926,single_group
F295,Factor1,-0.140263788536124,single_group
F297,Factor1,-0.929680807019734,single_group
F298,Factor1,-0.779990448408997,single_group
F299,Factor1,-1.22392629150806,single_group
F300,Factor1,-1.17454626878974,single_group
F301,Factor1,-0.917407956441897,single_group
F302,Factor1,-1.08803009211238,single_group
F303,Factor1,2.46179224533663,single_group
F304,Factor1,-1.17723817506898,single_group
F305,Factor1,0.692154683521364,single_group
F306,Factor1,-0.13901746748836,single_group
F307,Factor1,-0.15919490379546,single_group
F309,Factor1,2.83422481066015,single_group
F311,Factor1,-1.20229808656552,single_group
F312,Factor1,-1.04370134618459,single_group
F314,Factor1,-0.619982770031829,single_group
F315,Factor1,1.6055466062987,single_group
F316,Factor1,-0.525293784066086,single_group
F317,Factor1,-0.618771085589509,single_group
F318,Factor1,1.55133541846477,single_group
F320,Factor1,-0.787486850950932,single_group
F321,Factor1,2.3195710798767,single_group
F323,Factor1,2.62006931713527,single_group
F324,Factor1,-0.455443425235004,single_group
F325,Factor1,-0.20020257834489,single_group
F326,Factor1,0.641824963129865,single_group
F327,Factor1,-0.874740769642928,single_group
F328,Factor1,-1.2906220257625,single_group
F329,Factor1,-0.686314413260753,single_group
F331,Factor1,-0.940562817529961,single_group
F332,Factor1,-0.878708161755745,single_group
F333,Factor1,-0.70930071782551,single_group
F334,Factor1,-1.10821902201568,single_group
F335,Factor1,-1.08442371553894,single_group
F336,Factor1,-0.469446736498271,single_group
F338,Factor1,-1.16545174836541,single_group
F341,Factor1,1.96577484210549,single_group
F342,Factor1,-0.806391196706052,single_group
F343,Factor1,-0.497509306250358,single_group
F344,Factor1,-0.703062682131816,single_group
F345,Factor1,-0.969199179148724,single_group
F346,Factor1,0.807011362826549,single_group
F349,Factor1,2.99413503240024,single_group
F350,Factor1,0.487312242952861,single_group
F351,Factor1,0.546115546772952,single_group
F352,Factor1,-0.735156486457025,single_group
F353,Factor1,0.721308514718841,single_group
F354,Factor1,0.809815489223012,single_group
F355,Factor1,3.22071927159949,single_group
