feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
a16.1n7_per	Feed.Type	Feed2	0.451905430304162	0.0133545523737026	412	410	2.31146838531518e-120	4.06818435815471e-118
a16.0_per	Size.class	.L	0.0751474563416522	0.00424204558668847	412	412	2.04964037653339e-52	1.80368353134939e-50
sum_saturated_per	Size.class	.L	0.0716423013080352	0.00419825553770821	412	412	2.89344476190927e-49	1.69748759365344e-47
sum_16.1_per	Feed.Type	Feed2	0.392973306789554	0.0275146381142311	412	412	8.4766976896644e-38	3.72974698345234e-36
sum_18.1_per	Size.class	.L	-0.0421488095401589	0.00298554755359073	412	412	5.24432870322662e-37	1.84600370353577e-35
sum_monounsat_per	Size.class	.L	-0.0323895419126484	0.00239504529722071	412	412	1.12479188831383e-34	3.29938953905391e-33
a18.3n3_per	Size.class	.L	0.120779503137661	0.00958531097718495	412	412	7.16763687919588e-31	1.80214870105497e-29
a18.0_per	Size.class	.L	0.0589926285097705	0.00628903909527731	412	412	5.10846504837491e-19	1.12386231064248e-17
a22.6n3_DHA_per	Size.class	.L	-0.0695579102424633	0.0076504084816503	412	412	4.33574092390793e-18	8.47878225119774e-17
sum_n3_per	Size.class	.L	0.0425997963878217	0.0047915041684524	412	412	1.99469424386318e-17	3.5106618691992e-16
a18.2n6_per	Size.class	.L	-0.02119643435885	0.00250520059616989	412	412	4.91066408571012e-16	7.8570625371362e-15
a14.0_per	Size.class	.L	0.0527366962020781	0.00627571656004978	412	412	7.93267649336274e-16	1.16345921902653e-14
a18.1n9_per	Size.class	.L	-0.0495834503451542	0.0059902841194687	412	411	2.12979575219878e-15	2.8834157875922e-14
a20.5n3_EPA_per	Size.class	.L	0.0616721508561802	0.00791322089139058	412	411	5.49549109602883e-14	6.90861737786481e-13
a22.0_per	Size.class	.L	0.378085954969045	0.0565395519266033	412	320	7.5414757857051e-11	8.84866492189398e-10
a20.4n3_per	Tapeworm.bin	TRUE	0.0831720852272897	0.013094249021095	412	412	5.72680284155592e-10	6.29948312571151e-09
a20.4n6_ARA_per	Size.class	.L	0.0662364201563136	0.0109068375130576	412	412	2.90102781448571e-09	3.00341703146756e-08
a20.2n6_per	Tapeworm.bin	TRUE	0.107201927569711	0.0178898948644188	412	412	4.57630311833146e-09	4.47460749347965e-08
