feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
MAG06_Photobacterium_phosphoreum	Size.class	.L	-2.97342823022053	0.400397234157463	392	183	7.22577776678346e-13	3.25159999505256e-11
MAG02_Mycoplasma_sp	Tapeworm.bin	TRUE	2.31864079993883	0.382382259177865	392	215	3.17139146958259e-09	7.13563080656083e-08
MAG08_Aliivibrio_sp	Feed.Type	Feed2	1.82960220323505	0.307588679960596	392	72	6.07999067140044e-09	9.11998600710067e-08
MAG01_Mycoplasma_salmoninae	Size.class	.L	0.495830253753214	0.122467492793169	392	389	6.22639886863171e-05	0.000700469872721067
MAG03_Mycoplasma_sp	Tapeworm.bin	TRUE	0.892412443387694	0.241998781473907	392	86	0.000258751188649759	0.00232876069784783
MAG04_Mycoplasma_sp	Tapeworm.bin	TRUE	0.541682169843449	0.169665228871936	392	73	0.0015266000440951	0.0114495003307133
MAG05_Mycoplasma_sp	Tapeworm.bin	TRUE	0.665464999022917	0.223391678772795	392	49	0.00307660456719681	0.0197781722176938
MAG12_Carnobacterium_maltaromaticum	Tapeworm.bin	TRUE	0.590650671574995	0.20341253833012	392	57	0.00389961447863633	0.0219353314423294
MAG02_Mycoplasma_sp	Feed.Type	Feed2	0.76379730205383	0.300070103264795	392	215	0.0113035421911425	0.0565177109557126
MAG05_Mycoplasma_sp	Size.class	.L	-0.386773587389531	0.166038751716444	392	49	0.0203600469574641	0.0916202113085884
MAG11_Brevinema_sp	Tapeworm.bin	TRUE	-0.648051477811756	0.319034727309744	392	104	0.0429165699875597	0.175567786312744
MAG02_Mycoplasma_sp	Size.class	.L	-0.547322868349966	0.281578111246644	392	215	0.0526496580768353	0.197436217788132
MAG01_Mycoplasma_salmoninae	Tapeworm.bin	TRUE	-0.315315446839878	0.166310500353777	392	389	0.0587140110524253	0.203240807489164
MAG12_Carnobacterium_maltaromaticum	Size.class	.L	0.23299435420426	0.149788639436431	392	57	0.120649502180512	0.387801971294503
MAG05_Mycoplasma_sp	metag.sequencing.depth	metag.sequencing.depth	-0.133193603851149	0.0907954121253007	392	49	0.143270996842826	0.429812990528477
MAG01_Mycoplasma_salmoninae	Feed.Type	Feed2	-0.172409238379708	0.1305102624857	392	389	0.187270705281592	0.46817676320398
MAG06_Photobacterium_phosphoreum	Tapeworm.bin	TRUE	0.745057150305891	0.543738283802853	392	183	0.17140540227957	0.46817676320398
MAG11_Brevinema_sp	Size.class	.Q	0.284249710430369	0.2134820905527	392	104	0.183884314838874	0.46817676320398
MAG06_Photobacterium_phosphoreum	Feed.Type	Feed2	0.49967291810426	0.426692397603757	392	183	0.242305983341076	0.567771429348034
MAG08_Aliivibrio_sp	Size.class	.Q	-0.288235484658802	0.251428230078102	392	72	0.252342857488015	0.567771429348034
MAG11_Brevinema_sp	metag.sequencing.depth	metag.sequencing.depth	0.145609877868883	0.130586218732669	392	104	0.265567938743644	0.569074154450665
MAG04_Mycoplasma_sp	Size.class	.Q	-0.118399833881855	0.11384943666708	392	73	0.299045717832443	0.586744115592247
