Dataset,Variable,Df,SumOfSqs,R2,F,Pr(>F)
fatty.acid,per.pca.df$Feed.Type,1,1974.66201558158,0.34792473173932,242.430045600698,0.001
fatty.acid,per.pca.df$Size.class,2,331.121725034077,0.0583418511352746,20.3259733225158,0.001
fatty.acid,per.pca.df$Tapeworm,3,44.2480030732172,0.00779625803189185,1.81078167945288,0.108
fatty.acid,per.pca.df$Fatty_Acid_Batch,4,59.2523271663972,0.0104399385168846,1.81860797740955,0.086
fatty.acid,Residual,401,3266.25961846511,0.575497220576629,NA,NA
fatty.acid,Total,411,5675.54368932039,1,NA,NA
MAG.abund,Size.class,2,136.148290514465,0.0356374231298172,7.70336595402479,0.001
MAG.abund,Tapeworm,3,217.677438622982,0.0569780417859732,8.21089496514558,0.001
MAG.abund,Feed.Type,1,64.3284055629059,0.0168382474700863,7.27949278565989,0.001
MAG.abund,Residual,385,3402.2200269924,0.890546287614123,NA,NA
MAG.abund,Total,391,3820.37416169275,1,NA,NA
MAG.det,Tapeworm,3,0.410452202147716,0.00488473747663658,0.637644148243047,0.862
MAG.det,Size.class,2,0.593749755471221,0.00706613746282277,1.38359980205702,0.179
MAG.det,Feed.Type,1,0.41498215977795,0.00493864790442377,1.93404453251617,0.073
MAG.det,Residual,385,82.60830028906,0.983110477156117,NA,NA
MAG.det,Total,391,84.0274844064569,1,NA,NA
HostRNA,Feed.Type,1,84924.1136165061,0.0270873120823323,9.6260477005362,0.001
HostRNA,Size.class,2,62210.4122919967,0.0198425721595798,3.52573827792293,0.001
HostRNA,Tapeworm,3,23763.5365281655,0.0075795943308287,0.897856240558965,0.655
HostRNA,Residual,336,2964300.93251632,0.945490521427259,NA,NA
HostRNA,Total,342,3135198.99495299,1,NA,NA
HostRNA,Mbol.batch,3,196272.865155313,0.113616572446709,14.9827015280296,0.001
HostRNA,Feed.Type,1,37621.5816584662,0.0217780239498542,8.6156524268673,0.001
HostRNA,Size.class,2,55827.17232493,0.0323167034013139,6.39244140627701,0.001
HostRNA,Tapeworm,3,22984.2436239183,0.0133049006991532,1.75452710588487,0.004
HostRNA,Residual,324,1414796.21663141,0.818983799502969,NA,NA
HostRNA,Total,333,1727502.07939404,1,NA,NA
HostRNA,Mbol.batch,3,1307.21062693557,0.000852971978822728,0.0997873376034213,1
HostRNA,Feed.Type,1,37621.5816584661,0.0245485725807555,8.61565242686726,0.001
HostRNA,Size.class,2,55827.1723249301,0.0364279578737085,6.39244140627701,0.001
HostRNA,Tapeworm,3,22984.2436239183,0.0149975186566499,1.75452710588488,0.004
HostRNA,Residual,324,1414796.21663141,0.923172978910063,NA,NA
HostRNA,Total,333,1532536.42486566,1,NA,NA
