feature	value	factor	R1.superclass	R2.class	R3.subclass	R4.level5	R5.specific	top.anno	anno.figure	robust
FT_101	-0.430764921373535	Factor3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives		Bile acids, alcohols and derivatives	Lipids		Yes
FT_103	-0.25756923811596	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives		Dicarboxylic acids and derivatives	Organic.acids		No
FT_111	-0.673581391133598	Factor3	NA	NA	NA	NA	NA	unknown		Yes
FT_114	-0.960430366460514	Factor3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Lipids	bile.acids	Yes
FT_118	-1.03936191500183	Factor3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Glycinated bile acids and derivatives	Glycinated bile acids and derivatives	Lipids	bile.acids	Yes
FT_119	-1.06366546964128	Factor3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Lipids	bile.acids	Yes
FT_127	-0.282851417979912	Factor1	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols		Alcohols and polyols	Oxygens		No
FT_13	-0.506979787930877	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Glycinated bile acids and derivatives	Glycinated bile acids and derivatives	Lipids	bile.acids	Yes
FT_134	-0.206357493342112	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Trihydroxy bile acids, alcohols and derivatives	Lipids	bile.acids	No
FT_134	-0.966993552603629	Factor3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Trihydroxy bile acids, alcohols and derivatives	Lipids	bile.acids	Yes
FT_138	-0.416470321438919	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_141	-0.868162134345209	Factor3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Lipids	bile.acids	Yes
FT_143	-0.905535332995281	Factor3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Dihydroxy bile acids, alcohols and derivatives	Lipids	bile.acids	Yes
FT_148	-0.211475818811082	Factor1	Organoheterocyclic compounds	Oxanes			Oxanes	Organoheterocyclics		Yes
FT_148	-0.415848624353728	Factor3	Organoheterocyclic compounds	Oxanes			Oxanes	Organoheterocyclics		Yes
FT_152	-0.70923756798325	Factor3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Monohydroxy bile acids, alcohols and derivatives	Lipids	bile.acids	Yes
FT_153	0.344811026061883	Factor1	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters		Fatty acid esters	Lipids		Yes
FT_156	-0.877604821405446	Factor3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Trihydroxy bile acids, alcohols and derivatives	Lipids	bile.acids	Yes
FT_158	-0.875983027220141	Factor3	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Hydroxy bile acids, alcohols and derivatives	Dihydroxy bile acids, alcohols and derivatives	Lipids	bile.acids	Yes
FT_159	-0.243828110583103	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives			Steroids and steroid derivatives	Lipids		Yes
FT_160	0.251035402377226	Factor1	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	Acyl carnitines	Acyl carnitines	Lipids	acyl.carnitines	Yes
FT_161	0.396774926648146	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_162	0.522889536642778	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Oligopeptides	Organic.acids		Yes
FT_163	0.218939673607843	Factor1	NA	NA	NA	NA	NA	unknown		No
FT_164	0.257913082934904	Factor1	NA	NA	NA	NA	NA	unknown		No
FT_166	0.470777806791884	Factor1	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Long-chain fatty acids	Lipids		Yes
FT_169	0.530234777007	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_173	0.421395033298968	Factor1	Lipids and lipid-like molecules	Fatty Acyls			Fatty Acyls	Lipids		Yes
FT_176	0.407058723187961	Factor1	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	Acyl carnitines	Acyl carnitines	Lipids	acyl.carnitines	Yes
FT_181	0.51971771027563	Factor1	NA	NA	NA	NA	NA	unknown		Yes
FT_187	0.453382400101705	Factor1	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines	N-acyl amines	Lipids		Yes
FT_188	0.596434741756512	Factor1	Organoheterocyclic compounds	Biotin and derivatives			Biotin and derivatives	Organoheterocyclics		Yes
FT_194	0.530898360698151	Factor1	Organic acids and derivatives	Carboxylic acids and derivatives	Dicarboxylic acids and derivatives		Dicarboxylic acids and derivatives	Organic.acids		Yes
FT_199	0.31938955862146	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives	Delta-5-steroids		Delta-5-steroids	Lipids		Yes
FT_200	-0.250586997974904	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives	Bile acids, alcohols and derivatives	Glycinated bile acids and derivatives	Glycinated bile acids and derivatives	Lipids	bile.acids	No
FT_201	-0.416765822479081	Factor1	Lipids and lipid-like molecules	Steroids and steroid derivatives	Hydroxysteroids	3-hydroxysteroids	3-hydroxysteroids	Lipids	hydroxysteroids	Yes
FT_204	-0.490776418831829	Factor1	Benzenoids	Benzene and substituted derivatives			Benzene and substituted derivatives	Benzenoids		Yes
