KOfam	KOfam_ACC	Pfam	Pfam_ACC	KEGG_Module_ACC	KEGG_Class	gene.short	Category
N2-citryl-N6-acetyl-N6-hydroxylysine synthase [EC:6.3.2.38]	K03894	IucA / IucC family	PF04183.14	M00918	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	aerobactin.iucA	iron.aquisition
N2-citryl-N6-acetyl-N6-hydroxylysine synthase [EC:6.3.2.38]	K03894	IucA / IucC family	PF04183.15	M00918	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	aerobactin.iucA	iron.aquisition
acetyl CoA:N6-hydroxylysine acetyl transferase [EC:2.3.1.102]	K03896	Acetyltransferase (GNAT) domain	PF13523.8	M00918	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	aerobactin.iucB	iron.aquisition
acetyl CoA:N6-hydroxylysine acetyl transferase [EC:2.3.1.102]	K03896	Acetyltransferase (GNAT) domain	PF13523.9	M00918	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	aerobactin.iucB	iron.aquisition
lysine N6-hydroxylase [EC:1.14.13.59]	K03897	L-lysine 6-monooxygenase (NADPH-requiring)	PF13434.8	M00918	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	aerobactin.iucD	iron.aquisition
lysine N6-hydroxylase [EC:1.14.13.59]	K03897	L-lysine 6-monooxygenase/L-ornithine 5-monooxygenase	PF13434.9	M00918	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	aerobactin.iucD	iron.aquisition
aerobactin synthase [EC:6.3.2.39]	K03895	IucA / IucC family	PF04183.14	M00918	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	aerobactin.iucC	iron.aquisition
aerobactin synthase [EC:6.3.2.39]	K03895	IucA / IucC family	PF04183.15	M00918	Pathway modules; Biosynthesis of other secondary metabolites; Biosynthesis of other bacterial compounds	aerobactin.iucC	iron.aquisition
"bile acid:Na+ symporter, BASS family"	K03453	Sodium Bile acid symporter family	PF01758.19			bile.BASS	mucin.bile.degradation
"solute carrier family 10 (sodium/bile acid cotransporter), member 7"	K14347	SBF-like CPA transporter family (DUF4137)	PF13593.9			bile.SLC10A7	mucin.bile.degradation
"AraC family transcriptional regulator, chitin signaling transcriptional activator"	K19693	Helix-turn-helix domain	PF12833.9			chitin.AraC	chitin
"AraC family transcriptional regulator, chitin signaling transcriptional activator"	K19693	Helix-turn-helix domain	PF12833.10			chitin.AraC	chitin
chitin-binding protein	K03933	"Lytic polysaccharide mono-oxygenase, cellulose-degrading"	PF03067.18			chitin.cbp	chitin
chitin disaccharide deacetylase [EC:3.5.1.105]	K03478	YdjC-like protein	PF04794.14			chitin.chbG	chitin
chitin disaccharide deacetylase [EC:3.5.1.105]	K03478	YdjC-like protein	PF04794.15			chitin.chbG	chitin
chitin disaccharide deacetylase [EC:3.5.1.105]	K18454	Polysaccharide deacetylase	PF01522.24			chitin.chbG	chitin
chitinase [EC:3.2.1.14]	K01183	Glycosyl hydrolases family 18	PF00704.30			chia	chitin
chitinase [EC:3.2.1.14]	K01183	Glycosyl hydrolases family 18	PF00704.31			chia	chitin
putative chitinase	K03791					chia	chitin
hemolysin III	K11068	Haemolysin-III related	PF03006.22			hemolysin.hlyIII	lysin.hemo
hemolysin III	K11068	Haemolysin-III related	PF03006.23			hemolysin.hlyIII	lysin.hemo
"MarR family transcriptional regulator, transcriptional regulator for hemolysin"	K06075	MarR family	PF01047.24			hemolysin.MarR	lysin.hemo
"MarR family transcriptional regulator, transcriptional regulator for hemolysin"	K06075	MarR family	PF01047.25			hemolysin.MarR	lysin.hemo
hemolysin	K11016	Hemagglutinin repeat	PF13332.8			hemolysin.shlA	lysin.hemo
hemolysin	K11016	Hemagglutinin repeat	PF13332.9			hemolysin.shlA	lysin.hemo
hemolysin activation/secretion protein	K11017	Haemolysin secretion/activation protein ShlB/FhaC/HecB	PF03865.15			hemolysin.shlB	lysin.hemo
hemolysin activation/secretion protein	K11017	Haemolysin secretion/activation protein ShlB/FhaC/HecB	PF03865.16			hemolysin.shlB	lysin.hemo
putative hemolysin	K03699	Cyclin M transmembrane N-terminal domain	PF01595.22			hemolysin.tlyC	lysin.hemo
putative hemolysin	K03699	Cyclin M transmembrane N-terminal domain	PF01595.23			hemolysin.tlyC	lysin.hemo
		Thermostable hemolysin	PF12261.11			hemolysin.tsh	lysin.hemo
"Fur family transcriptional regulator, ferric uptake regulator"	K03711	Ferric uptake regulator family	PF01475.21			iron.fur	iron.aquisition
"Fur family transcriptional regulator, ferric uptake regulator"	K03711	Ferric uptake regulator family	PF01475.22			iron.fur	iron.aquisition
"Fur family transcriptional regulator, zinc uptake regulator"	K09823	Ferric uptake regulator family	PF01475.21			iron.zur	iron.aquisition
"Fur family transcriptional regulator, zinc uptake regulator"	K09823	Ferric uptake regulator family	PF01475.22			iron.zur	iron.aquisition
N-acylneuraminate cytidylyltransferase [EC:2.7.7.43]	K00983	Cytidylyltransferase	PF02348.22	M00922	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.CMAS	LPS
3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]	K00979	Cytidylyltransferase	PF02348.21	M00063	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.CTP	LPS
3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]	K00979	Cytidylyltransferase	PF02348.22	M00063	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.CTP	LPS
"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]"	K03273	HAD-hyrolase-like	PF13242.8	M00064	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.gmhB	LPS
"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]"	K03273	HAD-hyrolase-like	PF13242.9	M00064	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.gmhB	LPS
D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]	K03272	pfkB family carbohydrate kinase	PF00294.26	M00064	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.hldE	LPS
D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]	K03272	pfkB family carbohydrate kinase	PF00294.27	M00064	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.hldE	LPS
2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]	K01627	DAHP synthetase I family	PF00793.22	M00063	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.KDOP	LPS
2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]	K01627	DAHP synthetase I family	PF00793.23	M00063	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.KDOP	LPS
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]	K03270	haloacid dehalogenase-like hydrolase	PF08282.14	M00063	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.kdsC	LPS
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]	K03270	haloacid dehalogenase-like hydrolase	PF08282.15	M00063	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.kdsC	LPS
arabinose-5-phosphate isomerase [EC:5.3.1.13]	K06041	SIS domain	PF01380.24	M00063	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.kdsD	LPS
arabinose-5-phosphate isomerase [EC:5.3.1.13]	K06041	SIS domain	PF01380.25	M00063	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.kdsD	LPS
D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]	K03271	SIS domain	PF13580.8	M00064	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpcA	LPS
D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]	K03271	SIS domain	PF13580.9	M00064	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpcA	LPS
lipid A ethanolaminephosphotransferase [EC:2.7.8.43]	K03760	Sulfatase	PF00884.25	M00867	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.LptA	LPS
lipid A ethanolaminephosphotransferase [EC:2.7.8.43]	K03760	Phosphoethanolamine transferase EptA/EptB	PF08019.14	M00867	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.LptA	LPS
lipid A ethanolaminephosphotransferase [EC:2.7.8.43]	K03760	Phosphoethanolamine transferase EptA/EptB	PF08019.15	M00867	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.LptA	LPS
lipid A ethanolaminephosphotransferase [EC:2.7.8.43]	K03760	Sulfatase	PF00884.26	M00867	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.LptA	LPS
UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	K00677	Udp N-acetylglucosamine O-acyltransferase; Domain 2	PF13720.8	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxA	LPS
UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]	K00677	Bacterial transferase hexapeptide (six repeats)	PF00132.26	M00060|M00866	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism|Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	LPS.lpxA	LPS
