query	database.subject	pid	aln.length	mismatches	gap.openings	query.start	query.end	subj.start	subj.end	e.value	bit.score	protein	species	length	subj.name	subj.gene.cluster	subj.gene.call	hit.id
AAB47806.1	c_000000003667	49.138	116	27	13	788	893	113	206	0.002	39.3	P97	Mesomycoplasma.hyopneumoniae	1138	REF_Mycoplasma_penetrans	GC_00003370	1009	1
AAB47806.1	c_000000004249	42.581	155	37	13	787	892	272	423	0.005	38.5	P97	Mesomycoplasma.hyopneumoniae	1138	REF_Mycoplasma_iowae	GC_00000136	158	2
AAB47806.1	c_000000004249	58.442	77	14	10	814	879	375	444	0.2	33.5	P97	Mesomycoplasma.hyopneumoniae	1138	REF_Mycoplasma_iowae	GC_00000136	158	3
AAB47806.1	c_000000005107	31.395	86	50	4	237	319	449	528	0.8	31.6	P97	Mesomycoplasma.hyopneumoniae	1138	REF_Mycoplasma_penetrans	GC_00001037	605	4
AAB47806.1	c_000000000717	54.286	35	12	2	12	44	284	316	2.1	30	P97	Mesomycoplasma.hyopneumoniae	1138	MAG02_Mycoplasma_sp	GC_00005148	35396	5
AAB47806.1	c_000000000118	26.19	84	54	2	502	577	144	227	3.9	29.3	P97	Mesomycoplasma.hyopneumoniae	1138	MAG01_Mycoplasma_salmoninae	GC_00001949	40135	6
AAB47806.1	c_000000004842	27.879	165	101	8	248	399	268	427	5	28.9	P97	Mesomycoplasma.hyopneumoniae	1138	REF_Mycoplasma_iowae	GC_00000941	893	7
AAB47806.1	c_000000002459	35.849	53	32	2	813	865	53	103	6.5	28.5	P97	Mesomycoplasma.hyopneumoniae	1138	REF_Ureaplasma_diversum	GC_00002301	392	8
AAB47806.1	c_000000000932	31.034	58	37	2	47	103	24	79	7.8	28.1	P97	Mesomycoplasma.hyopneumoniae	1138	REF_Mycoplasma_penetrans	GC_00003648	490	9
AAB47806.1	c_000000001875	31.944	72	36	5	54	123	101	161	7.9	28.5	P97	Mesomycoplasma.hyopneumoniae	1138	MAG02_Mycoplasma_sp	GC_00005091	36164	10
AAB47806.1	c_000000003963	39.13	23	14	0	113	135	8096	8118	9.8	28.1	P97	Mesomycoplasma.hyopneumoniae	1138	MAG05_Mycoplasma_sp	GC_00003803	36704	11
AAK92039.1	c_000000001387	23.077	130	84	4	1186	1304	669	793	0.29	33.9	P1	Mycoplasma.pneumoniae	1681	REF_Ureaplasma_urealyticum	GC_00000293	502	12
AAK92039.1	c_000000003955	35.714	42	27	0	985	1026	34	75	1.3	29.6	P1	Mycoplasma.pneumoniae	1681	MAG03_Mycoplasma_sp	GC_00000440	26682	13
AAK92039.1	c_000000003956	35.714	42	27	0	985	1026	34	75	1.4	29.6	P1	Mycoplasma.pneumoniae	1681	MAG05_Mycoplasma_sp	GC_00000440	36774	14
AAK92039.1	c_000000005476	29.31	58	32	2	722	779	617	665	3.4	30	P1	Mycoplasma.pneumoniae	1681	MAG04_Mycoplasma_sp	GC_00001065	39583	15
AAK92039.1	c_000000002452	26.23	61	45	0	565	625	20	80	7.2	28.9	P1	Mycoplasma.pneumoniae	1681	MAG04_Mycoplasma_sp	GC_00000516	39603	16
AAK92039.1	c_000000005501	35	40	26	0	1495	1534	59	98	10	28.5	P1	Mycoplasma.pneumoniae	1681	REF_Mycoplasma_iowae	GC_00005050	193	17
AAZ44217.1	c_000000002553	53.429	350	157	4	3	348	9	356	4.71e-122	354	MHJ_0125	Mycoplasma.hyopneumoniae	366	MAG03_Mycoplasma_sp	GC_00000247	26875	18
AAZ44217.1	c_000000002554	53.009	349	158	4	10	354	16	362	2.02e-120	350	MHJ_0125	Mycoplasma.hyopneumoniae	366	MAG05_Mycoplasma_sp	GC_00000247	36322	19
AAZ44217.1	c_000000002556	45.299	351	190	2	3	351	9	359	6.84e-105	310	MHJ_0125	Mycoplasma.hyopneumoniae	366	REF_Ureaplasma_urealyticum	GC_00000247	266	20
AAZ44217.1	c_000000002555	44.126	349	193	2	3	349	9	357	6.2e-99	295	MHJ_0125	Mycoplasma.hyopneumoniae	366	REF_Ureaplasma_diversum	GC_00000247	138	21
AAZ44217.1	c_000000005878	37.143	35	21	1	2	35	871	905	2.8	28.1	MHJ_0125	Mycoplasma.hyopneumoniae	366	REF_Ureaplasma_urealyticum	GC_00004240	504	22
AAZ44217.1	c_000000000969	44.444	27	15	0	179	205	9	35	4.8	27.3	MHJ_0125	Mycoplasma.hyopneumoniae	366	REF_Ureaplasma_urealyticum	GC_00004871	553	23
AAZ44217.1	c_000000002706	22.936	109	64	5	112	203	38	143	6.7	26.2	MHJ_0125	Mycoplasma.hyopneumoniae	366	REF_Ureaplasma_urealyticum	GC_00001007	462	24
AAZ44217.1	c_000000001549	23.469	98	70	3	256	353	102	194	7.2	26.6	MHJ_0125	Mycoplasma.hyopneumoniae	366	MAG04_Mycoplasma_sp	GC_00000006	38965	25
AAZ44217.1	c_000000002221	29.63	27	19	0	162	188	61	87	8.3	25.8	MHJ_0125	Mycoplasma.hyopneumoniae	366	MAG04_Mycoplasma_sp	GC_00001524	39032	26
AAZ44547.2	c_000000001528	49.889	449	215	5	16	455	9	456	1.19e-128	379	MHJ_0461	Mycoplasma.hyopneumoniae	471	REF_Mycoplasma_mobile	GC_00000354	475	27
AAZ44547.2	c_000000007665	44.988	429	220	6	34	452	28	450	1.1e-117	350	MHJ_0461	Mycoplasma.hyopneumoniae	471	MAG03_Mycoplasma_sp	GC_00004216	26549	28
