gene_id	GeneSymbol	Chromosome	Class
gene-sh3tc2	sh3tc2	NC_059446.1:14635080-14692439	protein_coding
gene-LOC123743080	LOC123743080	NC_059446.1:14658319-14659716	lncRNA
gene-LOC106604260	LOC106604260	NC_059446.1:14712294-14896024	protein_coding
gene-LOC106604262	LOC106604262	NC_059446.1:14898496-15056714	protein_coding
gene-LOC106604309	LOC106604309	NC_059446.1:15083397-15086812	protein_coding
gene-LOC106604261	LOC106604261	NC_059446.1:15093862-15160221	protein_coding
gene-LOC106604261	LOC106604261	NC_059446.1:15099761-15160221	protein_coding
gene-LOC106604313	LOC106604313	NC_059446.1:15162151-15179407	protein_coding
gene-LOC106604313	LOC106604313	NC_059446.1:15162151-15179407	protein_coding
gene-LOC106604310	LOC106604310	NC_059446.1:15196662-15204158	protein_coding
gene-LOC106604310	LOC106604310	NC_059446.1:15196662-15204158	protein_coding
gene-LOC106604317	LOC106604317	NC_059446.1:15347054-15352503	protein_coding
gene-LOC106604317	LOC106604317	NC_059446.1:15347054-15352503	protein_coding
gene-LOC106604317	LOC106604317	NC_059446.1:15347054-15352503	protein_coding
gene-LOC106604317	LOC106604317	NC_059446.1:15347054-15352503	protein_coding
gene-LOC106604316	LOC106604316	NC_059446.1:15355873-15380187	protein_coding
gene-LOC106604316	LOC106604316	NC_059446.1:15355873-15380187	protein_coding
gene-LOC106604316	LOC106604316	NC_059446.1:15355873-15380187	protein_coding
gene-LOC106604316	LOC106604316	NC_059446.1:15355873-15380187	protein_coding
gene-LOC106604316	LOC106604316	NC_059446.1:15363100-15380187	protein_coding
gene-hnrh1	hnrh1	NC_059446.1:15380250-15387036	gene=hnrh1
gene-hnrh1	hnrh1	NC_059446.1:15380250-15387036	gene=hnrh1
gene-hnrh1	hnrh1	NC_059446.1:15380250-15387036	gene=hnrh1
gene-hnrh1	hnrh1	NC_059446.1:15380250-15387036	gene=hnrh1
gene-hnrh1	hnrh1	NC_059446.1:15380250-15387036	gene=hnrh1
gene-LOC106604319	LOC106604319	NC_059446.1:15401229-15402817	lncRNA
gene-LOC106604319	LOC106604319	NC_059446.1:15401229-15402817	lncRNA
gene-LOC106604319	LOC106604319	NC_059446.1:15401229-15402817	lncRNA
gene-LOC106604319	LOC106604319	NC_059446.1:15401229-15402817	lncRNA
gene-LOC106604319	LOC106604319	NC_059446.1:15401229-15402817	lncRNA
gene-LOC106604312	LOC106604312	NC_059446.1:15413849-15504824	protein_coding
gene-LOC106604312	LOC106604312	NC_059446.1:15413849-15504824	protein_coding
gene-LOC106604312	LOC106604312	NC_059446.1:15413849-15504824	protein_coding
gene-LOC106604312	LOC106604312	NC_059446.1:15413849-15504824	protein_coding
gene-LOC106604312	LOC106604312	NC_059446.1:15413849-15504824	protein_coding
gene-LOC100194635	LOC100194635	NC_059446.1:15507442-15521193	gene=LOC100194635
gene-LOC100194635	LOC100194635	NC_059446.1:15507442-15521193	gene=LOC100194635
gene-LOC100194635	LOC100194635	NC_059446.1:15507442-15521193	gene=LOC100194635
gene-LOC100194635	LOC100194635	NC_059446.1:15507442-15521193	gene=LOC100194635
gene-LOC100194635	LOC100194635	NC_059446.1:15507442-15521193	gene=LOC100194635
gene-LOC106604334	LOC106604334	NC_059446.1:15548058-15568626	protein_coding
gene-LOC106604334	LOC106604334	NC_059446.1:15548058-15568626	protein_coding
gene-LOC106604334	LOC106604334	NC_059446.1:15548058-15568626	protein_coding
gene-LOC106604334	LOC106604334	NC_059446.1:15548058-15568626	protein_coding
gene-LOC106604334	LOC106604334	NC_059446.1:15548058-15568626	protein_coding
gene-LOC106604330	LOC106604330	NC_059446.1:15573699-15873281	protein_coding
gene-LOC106604330	LOC106604330	NC_059446.1:15573699-15873281	protein_coding
gene-LOC106604330	LOC106604330	NC_059446.1:15573699-15873281	protein_coding
gene-LOC106604330	LOC106604330	NC_059446.1:15573699-15873281	protein_coding
gene-LOC106604330	LOC106604330	NC_059446.1:15573699-15873281	protein_coding
gene-LOC106604330	LOC106604330	NC_059446.1:15600137-15873281	protein_coding
