query	database.subject	pid	aln.length	mismatches	gap.openings	query.start	query.end	subj.start	subj.end	e.value	bit.score	protein	species	length	subj.name	subj.gene.cluster	subj.gene.call	hit.id
WP_011387107.1	c_000000002845	56.51	361	155	2	21	379	21	381	2.79e-138	397	GlpO	Mycoplasma.capricolum	397	REF_Mycoplasma_penetrans	GC_00000412	634	1
WP_011387107.1	c_000000002843	58.402	363	149	2	21	381	21	383	1.11e-134	388	GlpO	Mycoplasma.capricolum	397	REF_Mycoplasma_iowae	GC_00000412	739	2
WP_011387107.1	c_000000002844	52.147	326	154	2	23	346	23	348	2.93e-114	336	GlpO	Mycoplasma.capricolum	397	REF_Mycoplasma_mobile	GC_00000412	303	3
WP_011387107.1	c_000000004829	46.154	39	17	2	5	41	6	42	0.063	33.1	GlpO	Mycoplasma.capricolum	397	REF_Mycoplasma_iowae	GC_00002243	314	4
WP_011387107.1	c_000000008094	46.667	30	16	0	6	35	2	31	0.096	32.7	GlpO	Mycoplasma.capricolum	397	REF_Mycoplasma_mobile	GC_00000363	429	5
WP_011387107.1	c_000000001864	25.455	55	39	1	7	59	8	62	0.36	30.8	GlpO	Mycoplasma.capricolum	397	MAG04_Mycoplasma_sp	GC_00003296	39290	6
WP_011387107.1	c_000000004061	30.645	62	39	2	150	208	59	119	0.37	30.8	GlpO	Mycoplasma.capricolum	397	MAG01_Mycoplasma_salmoninae	GC_00001961	40099	7
WP_011387107.1	c_000000000884	40	40	23	1	148	186	27	66	0.59	30.4	GlpO	Mycoplasma.capricolum	397	REF_Mycoplasma_penetrans	GC_00004784	383	8
WP_011387107.1	c_000000001337	48.276	29	15	0	7	35	4	32	0.68	30	GlpO	Mycoplasma.capricolum	397	MAG01_Mycoplasma_salmoninae	GC_00000472	40046	9
WP_011387107.1	c_000000004156	33.333	30	20	0	9	38	10	39	0.72	30	GlpO	Mycoplasma.capricolum	397	REF_Mycoplasma_mobile	GC_00002403	181	10
WP_011387107.1	c_000000007132	27.619	105	59	4	150	242	498	597	1.6	28.9	GlpO	Mycoplasma.capricolum	397	MAG01_Mycoplasma_salmoninae	GC_00005057	39885	11
WP_011387107.1	c_000000006636	34.177	79	38	3	282	357	36	103	2.3	27.3	GlpO	Mycoplasma.capricolum	397	REF_Ureaplasma_diversum	GC_00001260	136	12
WP_011387107.1	c_000000005421	31.343	67	34	2	233	299	197	251	2.4	28.1	GlpO	Mycoplasma.capricolum	397	MAG03_Mycoplasma_sp	GC_00001257	26735	13
WP_011387107.1	c_000000001193	27.778	54	36	1	293	346	11	61	2.8	27.3	GlpO	Mycoplasma.capricolum	397	REF_Ureaplasma_diversum	GC_00002126	64	14
WP_011387107.1	c_000000000575	35.484	31	20	0	10	40	179	209	5.8	26.9	GlpO	Mycoplasma.capricolum	397	REF_Mycoplasma_penetrans	GC_00000325	508	15
WP_011387107.1	c_000000000782	18.667	150	108	5	58	202	1264	1404	5.9	27.3	GlpO	Mycoplasma.capricolum	397	REF_Mycoplasma_penetrans	GC_00000835	91	16
WP_011387107.1	c_000000001335	31.915	47	29	1	10	53	7	53	6.4	26.9	GlpO	Mycoplasma.capricolum	397	MAG02_Mycoplasma_sp	GC_00000472	36142	17
WP_011387107.1	c_000000003715	31.325	83	52	3	144	223	8	88	7.6	26.6	GlpO	Mycoplasma.capricolum	397	MAG04_Mycoplasma_sp	GC_00000246	39532	18
WP_011387107.1	c_000000004322	39.216	51	27	1	186	236	92	138	7.7	26.2	GlpO	Mycoplasma.capricolum	397	MAG02_Mycoplasma_sp	GC_00004155	35737	19
WP_011387107.1	c_000000005537	28.788	66	31	2	1	60	1	56	8.6	26.6	GlpO	Mycoplasma.capricolum	397	REF_Mycoplasma_iowae	GC_00002979	916	20
WP_011387107.1	c_000000000574	32.258	31	21	0	10	40	179	209	9.7	26.2	GlpO	Mycoplasma.capricolum	397	REF_Mycoplasma_iowae	GC_00000325	80	21
WP_014325310.1	c_000000002843	49.211	380	188	2	5	381	7	384	5.53e-113	333	GlpO	Mycoplasmoides.pneumoniae	394	REF_Mycoplasma_iowae	GC_00000412	739	22
WP_014325310.1	c_000000002845	46.196	368	189	4	19	381	21	384	1.46e-109	324	GlpO	Mycoplasmoides.pneumoniae	394	REF_Mycoplasma_penetrans	GC_00000412	634	23
WP_014325310.1	c_000000002844	45.845	349	185	3	1	348	3	348	4.44e-96	290	GlpO	Mycoplasmoides.pneumoniae	394	REF_Mycoplasma_mobile	GC_00000412	303	24
WP_014325310.1	c_000000004568	35.593	59	32	3	303	360	159	212	0.089	32.7	GlpO	Mycoplasmoides.pneumoniae	394	REF_Mycoplasma_penetrans	GC_00003154	390	25
WP_014325310.1	c_000000005537	30.508	59	39	1	5	63	7	63	0.27	31.2	GlpO	Mycoplasmoides.pneumoniae	394	REF_Mycoplasma_iowae	GC_00002979	916	26
WP_014325310.1	c_000000001582	36.111	36	23	0	1	36	1	36	0.95	29.3	GlpO	Mycoplasmoides.pneumoniae	394	REF_Ureaplasma_diversum	GC_00001560	410	27
WP_014325310.1	c_000000003896	41.176	34	20	0	1	34	11	44	1	29.3	GlpO	Mycoplasmoides.pneumoniae	394	MAG04_Mycoplasma_sp	GC_00000057	39404	28
WP_014325310.1	c_000000000266	24.561	57	43	0	180	236	185	241	1.3	28.9	GlpO	Mycoplasmoides.pneumoniae	394	REF_Ureaplasma_urealyticum	GC_00000915	459	29
WP_014325310.1	c_000000008094	34.286	35	23	0	5	39	3	37	1.7	28.5	GlpO	Mycoplasmoides.pneumoniae	394	REF_Mycoplasma_mobile	GC_00000363	429	30
WP_014325310.1	c_000000004829	33.333	39	26	0	6	44	9	47	3.3	27.7	GlpO	Mycoplasmoides.pneumoniae	394	REF_Mycoplasma_iowae	GC_00002243	314	31
WP_014325310.1	c_000000004375	23.664	262	127	12	6	241	42	256	3.5	27.7	GlpO	Mycoplasmoides.pneumoniae	394	MAG01_Mycoplasma_salmoninae	GC_00004117	40516	32
WP_014325310.1	c_000000006835	36.111	36	20	1	308	340	100	135	4.2	27.3	GlpO	Mycoplasmoides.pneumoniae	394	MAG03_Mycoplasma_sp	GC_00001107	26579	33
WP_014325310.1	c_000000002932	27.941	68	47	1	235	300	277	344	6.3	26.9	GlpO	Mycoplasmoides.pneumoniae	394	REF_Mycoplasma_iowae	GC_00003686	429	34
