cat.query.subj	length	new.start	new.end	new.length	aln.per
AAZ44547.2.MAG03_Mycoplasma_sp	471	7	453	446	0.946921444
AHA41007.1.REF_Ureaplasma_urealyticum	226	7	175	168	0.743362832
BAC23068.1.MAG05_Mycoplasma_sp	3273	2709	2800	91	0.027803239
BAC23068.1.MAG02_Mycoplasma_sp	3273	2709	2776	67	0.020470516
BAC23068.1.MAG03_Mycoplasma_sp	3273	2700	2798	98	0.029941949
BAC23068.1.MAG04_Mycoplasma_sp	3273	2703	2823	120	0.036663611
BAC23068.1.REF_Mycoplasma_mobile	3273	1	3183	3182	0.972196761
BAV20919.1.MAG05_Mycoplasma_sp	404	1	250	249	0.616336634
BAV20919.1.MAG02_Mycoplasma_sp	404	1	392	391	0.967821782
BAV20919.1.MAG03_Mycoplasma_sp	404	1	394	393	0.972772277
BAV20919.1.MAG01_Mycoplasma_salmoninae	404	1	394	393	0.972772277
BAV20919.1.MAG04_Mycoplasma_sp	404	1	394	393	0.972772277
BAV20919.1.REF_Mycoplasma_iowae	404	1	394	393	0.972772277
BAV20919.1.REF_Mycoplasma_mobile	404	1	394	393	0.972772277
BAV20919.1.REF_Mycoplasma_penetrans	404	1	394	393	0.972772277
BAV20919.1.REF_Ureaplasma_diversum	404	1	393	392	0.97029703
BAV20919.1.REF_Ureaplasma_urealyticum	404	1	389	388	0.96039604
KJQ47694.1.REF_Ureaplasma_urealyticum	564	125	372	247	0.437943262
WP_014325497.1.REF_Mycoplasma_iowae	574	2	588	586	1.020905923
