feature	value	factor	gene.name	anno.figure	robust
NC_059443.1+LOC106581127	-0.258566222603374	Factor1	fucolectin-3-like	immune	No
NC_059448.1+LOC106608552	0.202721329712301	Factor1	protein S100-P		No
NC_059456.1+LOC106570829	0.249911853009383	Factor1	3-hydroxy-3-methylglutaryl-coenzyme A reductase	lipid	No
NC_059448.1+fel	0.354620223656934	Factor2	Fish-egg lectin	immune	Yes
NC_059455.1+LOC106570190	-0.348449253867004	Factor2	type-4 ice-structuring protein		Yes
NC_059449.1+LOC106610497	-0.392091247737334	Factor2	von Willebrand factor A domain-containing protein 7-like		Yes
NC_059457.1+LOC106574241	0.684643899865636	Factor2	desmin		Yes
NC_059443.1+afp4	-0.404943530718629	Factor2	antifreeze protein type IV	lipid	No
NC_059466.1+LOC106586541	-0.379973893973581	Factor2	apolipoprotein A-I	apolipoprotein	Yes
NC_059460.1+acta2	0.701498609013777	Factor2	actin alpha 2, smooth muscle	ECM	Yes
NC_059458.1+LOC106575168	0.686344073187742	Factor2	desmin-like		Yes
NC_059448.1+zanl	-0.298209820105038	Factor2	zonadhesin, like		Yes
NC_059469.1+LOC106589387	0.648812127400379	Factor2	actin, aortic smooth muscle	ECM	Yes
NC_059444.1+elof1	0.736700184759787	Factor2	elongation factor 1		Yes
NC_059452.1+slc12a1	0.29908474028522	Factor2	solute carrier family 12 member 1		Yes
NC_059454.1+LOC106567267	-0.360489853967052	Factor2	acidic mammalian chitinase		Yes
NC_059450.1+apoa1	-0.376954062611945	Factor2	apolipoprotein A-I	apolipoprotein	Yes
NC_059445.1+LOC106602162	-0.271367579406522	Factor2	ladderlectin-like	immune	Yes
NC_059454.1+LOC106567403	0.676560924959406	Factor2	heat shock protein beta-1		Yes
NC_059451.1+LOC106560239	-0.303123510252526	Factor2	sodium-dependent phosphate transport protein 2B-like		No
NC_059448.1+zgc:194655	-0.221447712216863	Factor2	uncharacterized LOC123724069		No
NC_059442.1+LOC106587655	0.711934389329091	Factor2	thrombospondin-1-like	immune	Yes
NC_059444.1+cnn1b	0.60388981902278	Factor2	calponin 1, basic, smooth muscle, b	ECM	Yes
NC_059454.1+LOC100380643	0.734459438241361	Factor2	filamin A, alpha (actin binding protein 280)	ECM	Yes
NC_059443.1+LOC106589071	0.738863525663641	Factor2	myosin-11-like	ECM	Yes
NC_059460.1+LOC106578890	0.426147474479315	Factor2	snaclec 1-like		Yes
NC_059449.1+LOC106592508	-0.242888188229408	Factor2	ladderlectin-like	immune	No
NC_059442.1+LOC106569632	-0.306649572471454	Factor2	apolipoprotein A-I	apolipoprotein	Yes
NC_059449.1+isp2	-0.228224974324123	Factor2	Type-2 ice-structuring protein		Yes
NC_059443.1+LOC106587486	0.369596176085882	Factor2	actin, alpha skeletal muscle 2-like	ECM	Yes
NC_059450.1+LOC106610834	0.668508228353055	Factor2	thrombospondin-1-like	immune	Yes
NC_059443.1+LOC106577499	-0.329776960892768	Factor2	apolipoprotein A-I-like	apolipoprotein	Yes
NC_059456.1+LOC106571178	-0.365037063225871	Factor2	apolipoprotein B-100-like	apolipoprotein	No
NC_059443.1+LOC106577505	-0.369826034733138	Factor2	apolipoprotein A-IV	apolipoprotein	Yes
NW_025549279.1+LOC100380663	0.619829364925301	Factor2	myosin-11	ECM	Yes
NC_059461.1+ret2	-0.249078883335827	Factor2	Retinol-binding protein II, cellular	lipid	Yes
NC_059455.1+LOC100136439	0.286342729882032	Factor2	cathelicidin antimicrobial peptide	immune	No
NC_059447.1+LOC123743428	0.596606769595276	Factor2	calponin-1-like		Yes
NC_059451.1+rbpms2a	0.703738589142527	Factor2	RNA binding protein, mRNA processing factor 2a		Yes
NC_059448.1+LOC106608508	-0.35666045116033	Factor2	fatty acid-binding protein, intestinal	lipid	Yes
NC_059448.1+LOC106609541	0.504112838905752	Factor2	Ig kappa-b4 chain C region-like		Yes
NC_059457.1+LOC106573078	0.624738568275948	Factor2	non-muscle caldesmon-like	ECM	Yes
NC_059446.1+LOC106605287	-0.24074128611666	Factor2	type-4 ice-structuring protein LS-12		Yes
NC_059450.1+LOC106612633	0.554401168588185	Factor2	transgelin		Yes
NC_059456.1+LOC106571269	0.621343471185856	Factor2	collagen alpha-1(XII) chain	ECM	Yes
NC_059461.1+LOC100136573	-0.246733466560062	Factor2	apolipoprotein A-I	apolipoprotein	Yes
NC_059463.1+LOC106583599	0.535004509814659	Factor2	myosin regulatory light polypeptide 9		Yes
NW_025548300.1+LOC123732866	0.238688431257392	Factor2	28S ribosomal RNA		Yes
NC_059453.1+LOC106565579	0.452307823331378	Factor2	uncharacterized LOC106565579		Yes
NC_059445.1+LOC106602736	0.618191744870748	Factor2	synaptopodin-2		Yes
NC_059453.1+LOC123725462	0.491435346166665	Factor2	myosin-11-like		Yes
NC_059443.1+LOC100136446	0.529292969745405	Factor2	C type lectin receptor A	immune	Yes
NC_059460.1+LOC106578982	0.429643895091608	Factor2	retinol-binding protein 4-B		Yes
NC_059461.1+LOC106592016	-0.229843784460666	Factor2	diacylglycerol O-acyltransferase 2-like		Yes
NC_059458.1+LOC123728348	0.218728145173204	Factor2	18S ribosomal RNA		Yes
NC_059450.1+LOC123744634	0.246689468829502	Factor2	uncharacterized LOC123744634		Yes
NC_059452.1+LOC106563252	-0.241455323121388	Factor2	fatty acid-binding protein, liver-type	lipid	Yes
NC_059463.1+LOC106583595	0.289763978100253	Factor2	uncharacterized LOC106583595		Yes
NC_059455.1+LOC106570460	0.418635042130347	Factor2	collagen alpha-2(I) chain	ECM	Yes
NC_059444.1+LOC106600603	-0.202776156524307	Factor2	uncharacterized LOC106600603		No
NC_059448.1+LOC106609426	0.452665164265389	Factor2	Ig kappa-b4 chain C region-like		Yes
NC_059469.1+rbp4	0.418578181891737	Factor2	retinol binding protein 4, plasma		Yes
NC_059442.1+LOC106592479	0.24368455949095	Factor2	DNA damage-inducible transcript 4 protein	signaling	No
NC_059457.1+LOC106591349	0.632096747825145	Factor2	tensin	signaling	Yes
NC_059444.1+LOC106598496	-0.235034439743093	Factor2	relaxin-like		Yes
NC_059461.1+LOC106580347	0.588010601991974	Factor2	smoothelin-like		Yes
NC_059456.1+mmp9	0.205610257967544	Factor2	matrix metalloproteinase 9	ECM	Yes
NC_059446.1+LOC106605691	-0.323230360923667	Factor2	apolipoprotein A-IV-like	apolipoprotein	Yes
NC_059448.1+LOC106608877	0.572346216097963	Factor2	permeability factor 2	immune	Yes
NC_059442.1+LOC106586810	0.579304195156833	Factor2	gremlin-1-like		Yes
NC_059453.1+LOC106564730	0.32045382501613	Factor2	actin, alpha skeletal muscle 2	ECM	Yes
NC_059442.1+LOC106610502	0.456792304256242	Factor2	collagen alpha-1(I) chain	ECM	Yes
NC_059446.1+LOC106605692	-0.326398630246659	Factor2	apolipoprotein A-IV	apolipoprotein	Yes
NC_059444.1+LOC100136434	0.622034190852956	Factor2	matrix Gla protein	ECM	Yes
NC_059462.1+LOC106581830	0.557902158399691	Factor2	myosin light chain kinase, smooth muscle-like		Yes
NC_059451.1+LOC106560454	-0.312547947128498	Factor2	calcium-activated chloride channel regulator 1-like		No
NC_059461.1+LOC106580821	0.482908344529888	Factor2	transgelin		Yes
NC_059445.1+hspb1	0.479273037333371	Factor2	heat shock protein, alpha-crystallin-related, 1		Yes
NC_059442.1+LOC106612024	-0.321033042233736	Factor2	ectonucleotide pyrophosphatase/phosphodiesterase family member 7-like		No
NC_059450.1+LOC106612831	0.485323529653256	Factor2	elastin	ECM	Yes
NC_059455.1+mpz	0.552064312478935	Factor2	myelin protein zero		Yes
NC_059445.1+pdlim3a	0.574694108257567	Factor2	PDZ and LIM domain 3a		Yes
NC_059458.1+LOC106575599	0.607404732006788	Factor2	tensin	signaling	Yes
NC_059443.1+LOC106588082	-0.279234643151999	Factor2	group XIIB secretory phospholipase A2-like protein	lipid	Yes
NC_059444.1+LOC106601736	-0.211098771162487	Factor2	interferon-induced protein 44	immune	No
NC_059453.1+myl9b	0.539465818110837	Factor2	myosin, light chain 9b, regulatory		Yes
NC_059442.1+tpm2	0.561798482084893	Factor2	tropomyosin 2 (beta)	ECM	Yes
NC_059451.1+LOC106560919	0.575430076746272	Factor2	protein NDRG4		Yes
NC_059442.1+cfd	0.508881607419018	Factor2	complement factor D (adipsin)	signaling	Yes
NC_059443.1+LOC123728683	-0.204225977853257	Factor2	carcinoembryonic antigen-related cell adhesion molecule 1-like		No
NC_059454.1+LOC106567787	0.572783671575047	Factor2	rho GTPase-activating protein 20	signaling	Yes
NC_059442.1+LOC106604599	0.610376889303988	Factor2	sorbin and SH3 domain-containing protein 1		Yes
NC_059448.1+LOC106597302	0.335609866747697	Factor2	Ig kappa-b4 chain C region-like		Yes
NC_059457.1+ccl25b	0.477952278501674	Factor2	chemokine (C-C motif) ligand 25b	immune	Yes
NC_059462.1+LOC106581666	0.4842523463806	Factor2	collagen alpha-3(VI) chain	ECM	Yes
NC_059464.1+LOC106591811	-0.205655061162065	Factor2	mucin-2		No
NC_059454.1+LOC106567093	0.532123195544167	Factor2	junctophilin-2-like		Yes
